policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,energy_mode,algorithm_family,algorithm,intelligence_level,area_width_m,area_height_m,channel_model,run,seed
distributed_edge,20,340,517,16320,373.832,31.0,12.4,93.0,0.0,0.0,0.0,141.372,93.06,3.0,1.0,1.0,1.0,1.0,0.0073,3,,0.0073,-0.0073,,,,5940,3,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.3926,0.05,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,calibrated,classical_baseline,distributed_edge,0,100,100,log_normal,1,201235
dstep,20,297,534,14256,359.0126,31.0,12.4,93.0,0.0,0.0,0.0,123.4926,96.12,3.0,1.0,1.0,1.0,1.0,0.0073,3,0.1573,-0.7913,0.7913,,,,5105,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.2546,0.0625,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,calibrated,intelligent_dstep,dstep_0_local,1,100,100,log_normal,1,201235
dstep,20,297,534,14256,380.0126,31.0,12.4,93.0,21.0,0.0,0.0,123.4926,96.12,3.0,1.0,1.0,1.0,1.0,0.0073,3,0.1573,-0.7913,0.7913,,,,5105,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.2546,0.0625,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,calibrated,intelligent_dstep,dstep_1_consensus,2,100,100,log_normal,1,201235
dstep,20,263,477,12624,355.6154,31.0,12.4,93.0,21.0,0.0,0.0,109.3554,85.86,3.0,1.0,1.0,1.0,1.0,0.0073,3,0.1573,-5.6884,5.6884,,,,4519,1,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.3534,0.0625,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,calibrated,intelligent_dstep,dstep_2_voi,3,100,100,log_normal,1,201235
dstep,20,165,532,7920,420.527,31.0,12.4,93.0,21.0,72.96,22.8,68.607,95.76,3.0,1.0,1.0,1.0,1.0,0.0073,3,0.1573,-5.6884,5.6884,30.3172,11.1081,0.9247,2600,3,0,167,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.2938,0.1125,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,calibrated,intelligent_dstep,dstep_3_prediction,4,100,100,log_normal,1,201235
dstep,20,42,236,2016,310.2236,31.0,12.4,93.0,21.0,68.48,21.4,17.4636,42.48,3.0,1.0,1.0,1.0,0.95,0.0073,3,1.1573,-0.1411,0.1411,26.1925,11.9178,0.9018,560,2,0,236,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.3963,0.05,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,calibrated,intelligent_dstep,dstep_4_network_adaptive,5,100,100,log_normal,1,201235
dstep,20,42,383,2016,349.8317,31.0,12.4,93.0,21.0,80.24,25.075,15.1767,68.94,3.0,1.0,1.0,1.0,1.0,0.0073,3,1.1073,-3.4752,3.4752,34.2497,11.5235,0.9843,346,20,49,383,channel_aware_adaptive,-15.5,-20.0,-10.0,-8.4906,33,1,32,-79.7234,0.475,20,20,20,1,0,0.002,12.9281405603957,51.18559887184582,56.36996734414206,11.55,3,19,0,1,1.0,6.146727028405128,0.02831758419026187,29.76469166578144,20.0,0.95,calibrated,intelligent_dstep,dstep_full,6,100,100,log_normal,1,201235
periodic,20,600,600,28800,364.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,108.0,3.0,1.0,1.0,1.0,1.0,0.0033,3,,0.0033,-0.0033,,,,10793,7,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.3769,0.05,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,uncalibrated_reference,classical_baseline,periodic,0,100,100,log_normal,1,201235
event_driven,20,340,517,16320,258.46,31.0,12.4,0.0,0.0,0.0,0.0,119.0,93.06,3.0,1.0,1.0,1.0,1.0,0.0033,3,,0.0033,-0.0033,,,,5940,3,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.3926,0.05,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,uncalibrated_reference,classical_baseline,event_driven,0,100,100,log_normal,1,201235
distributed_edge,20,340,517,16320,351.46,31.0,12.4,93.0,0.0,0.0,0.0,119.0,93.06,3.0,1.0,1.0,1.0,1.0,0.0073,3,,0.0073,-0.0073,,,,5940,3,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.3926,0.05,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,uncalibrated_reference,classical_baseline,distributed_edge,0,100,100,log_normal,1,201235
