policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,energy_mode,algorithm_family,algorithm,intelligence_level,area_width_m,area_height_m,channel_model,run,seed
dstep,20,37,195,1776,296.4596,31.0,12.4,93.0,21.0,65.2,20.375,15.3846,35.1,3.0,1.0,1.0,1.0,1.0,-0.4656,6,0.4344,-2.6622,2.6622,36.474,11.9537,1.2595,507,1,0,195,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.1439,0.1125,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,calibrated,intelligent_dstep,dstep_4_network_adaptive,5,100,100,log_normal,2,201236
dstep,20,38,307,1824,326.9243,31.0,12.4,93.0,21.0,74.16,23.175,13.9293,55.26,3.0,1.0,1.0,1.0,1.0,-0.4656,6,0.3344,-3.4054,3.4054,43.7435,9.887,1.3459,376,28,11,307,channel_aware_adaptive,-16.5,-20.0,-10.0,-8.6792,33,0,33,-74.6678,0.45,21,21,21,0,0,0.002,10.4335271424556,48.16178788748137,52.53599547102051,11.7,5,19,0,1,1.0,6.333238195714137,0.19259874534107269,29.750485346222945,20.0,0.775625,calibrated,intelligent_dstep,dstep_full,6,100,100,log_normal,2,201236
periodic,20,600,600,28800,364.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,108.0,3.0,1.0,1.0,1.0,1.0,-0.4696,6,,-0.4696,0.4696,,,,10792,8,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.8251,0.05,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,uncalibrated_reference,classical_baseline,periodic,0,100,100,log_normal,2,201236
event_driven,20,326,477,15648,246.36,31.0,12.4,0.0,0.0,0.0,0.0,114.1,85.86,3.0,1.0,1.0,1.0,1.0,-0.4696,6,,-0.4696,0.4696,,,,5712,5,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.9593,0.05,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,uncalibrated_reference,classical_baseline,event_driven,0,100,100,log_normal,2,201236
distributed_edge,20,326,477,15648,339.36,31.0,12.4,93.0,0.0,0.0,0.0,114.1,85.86,3.0,1.0,1.0,1.0,1.0,-0.4656,6,,-0.4656,0.4656,,,,5712,5,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.9593,0.05,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,uncalibrated_reference,classical_baseline,distributed_edge,0,100,100,log_normal,2,201236
dstep,20,255,454,12240,310.37,31.0,12.4,93.0,0.0,0.0,0.0,89.25,81.72,3.0,1.0,1.0,1.0,1.0,-0.4656,6,-0.1656,-0.1656,0.1656,,,,4387,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.614,0.05,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,uncalibrated_reference,intelligent_dstep,dstep_0_local,1,100,100,log_normal,2,201236
dstep,20,258,472,12384,335.66,31.0,12.4,93.0,21.0,0.0,0.0,90.3,84.96,3.0,1.0,1.0,1.0,1.0,-0.4656,6,0.4344,0.3346,-0.3346,,,,4427,3,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.396,0.1,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,uncalibrated_reference,intelligent_dstep,dstep_1_consensus,2,100,100,log_normal,2,201236
dstep,20,203,394,9744,302.37,31.0,12.4,93.0,21.0,0.0,0.0,71.05,70.92,3.0,1.0,1.0,1.0,1.0,-0.4656,6,-0.0656,-2.6624,2.6624,,,,3457,6,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.9261,0.1125,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,uncalibrated_reference,intelligent_dstep,dstep_2_voi,3,100,100,log_normal,2,201236
dstep,20,126,394,6048,361.1,31.0,12.4,93.0,21.0,65.28,20.4,44.1,70.92,3.0,1.0,1.0,1.0,1.0,-0.4656,6,-0.0656,-2.6624,2.6624,42.852,12.9645,1.9298,1998,2,0,106,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.4652,0.1875,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,uncalibrated_reference,intelligent_dstep,dstep_3_prediction,4,100,100,log_normal,2,201236
dstep,20,37,195,1776,294.025,31.0,12.4,93.0,21.0,65.2,20.375,12.95,35.1,3.0,1.0,1.0,1.0,1.0,-0.4656,6,0.4344,-2.6622,2.6622,36.474,11.9537,1.2595,507,1,0,195,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.1439,0.1125,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,uncalibrated_reference,intelligent_dstep,dstep_4_network_adaptive,5,100,100,log_normal,2,201236
dstep,20,38,307,1824,326.295,31.0,12.4,93.0,21.0,74.16,23.175,13.3,55.26,3.0,1.0,1.0,1.0,1.0,-0.4656,6,0.3344,-3.4054,3.4054,43.7435,9.887,1.3459,376,28,11,307,channel_aware_adaptive,-16.5,-20.0,-10.0,-8.6792,33,0,33,-74.6678,0.45,21,21,21,0,0,0.002,10.4335271424556,48.16178788748137,52.53599547102051,11.7,5,19,0,1,1.0,6.333238195714137,0.19259874534107269,29.750485346222945,20.0,0.775625,uncalibrated_reference,intelligent_dstep,dstep_full,6,100,100,log_normal,2,201236
