nodes,area_width_m,area_height_m,channel_model,baseline,paired_runs,f1_full_mean,f1_baseline_mean,f1_paired_diff_mean,f1_paired_diff_ci95_low,f1_paired_diff_ci95_high,f1_cohen_dz,f1_wilcoxon_p,dcr_full_mean,dcr_baseline_mean,dcr_paired_diff_mean,dcr_paired_diff_ci95_low,dcr_paired_diff_ci95_high,dcr_cohen_dz,dcr_wilcoxon_p,tx_packets_full_mean,tx_packets_baseline_mean,tx_packets_paired_diff_mean,tx_packets_paired_diff_ci95_low,tx_packets_paired_diff_ci95_high,tx_packets_cohen_dz,tx_packets_wilcoxon_p,energy_mj_full_mean,energy_mj_baseline_mean,energy_mj_paired_diff_mean,energy_mj_paired_diff_ci95_low,energy_mj_paired_diff_ci95_high,energy_mj_cohen_dz,energy_mj_wilcoxon_p,energy_tx_mj_full_mean,energy_tx_mj_baseline_mean,energy_tx_mj_paired_diff_mean,energy_tx_mj_paired_diff_ci95_low,energy_tx_mj_paired_diff_ci95_high,energy_tx_mj_cohen_dz,energy_tx_mj_wilcoxon_p,collisions_full_mean,collisions_baseline_mean,collisions_paired_diff_mean,collisions_paired_diff_ci95_low,collisions_paired_diff_ci95_high,collisions_cohen_dz,collisions_wilcoxon_p,mean_lead_time_s_full_mean,mean_lead_time_s_baseline_mean,mean_lead_time_s_paired_diff_mean,mean_lead_time_s_paired_diff_ci95_low,mean_lead_time_s_paired_diff_ci95_high,mean_lead_time_s_cohen_dz,mean_lead_time_s_wilcoxon_p
20,100,100,log_normal,periodic,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,38.333333333333336,600.0,-561.6666666666666,-565.6407381864615,-557.6925951468718,-159.93312228429608,0.25,330.7332666666667,403.88,-73.14673333333332,-92.95835176501666,-53.33511490164997,-4.178019135533938,0.25,14.033266666666666,249.48,-235.44673333333333,-236.6860206850864,-234.20744598158026,-214.9889288936524,0.25,358.0,10793.666666666666,-10435.666666666666,-10455.014601382749,-10416.318731950583,-610.3529236205081,0.25,2.5152666666666668,0.36333333333333334,2.1519333333333335,0.06103878927319739,4.24282787739347,1.1646411407514272,0.25
20,100,100,log_normal,event_driven,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,38.333333333333336,338.3333333333333,-300.0,-314.8408804770247,-285.1591195229753,-22.8747855498907,0.25,330.7332666666667,276.659,54.07426666666669,33.72499912685328,74.4235342064801,3.0070268139181904,0.25,14.033266666666666,140.679,-126.64573333333335,-132.6024237771707,-120.68904288949601,-24.05918855199785,0.25,358.0,5926.666666666667,-5568.666666666667,-5818.854949188273,-5318.478384145061,-25.187188970567785,0.25,2.5152666666666668,0.36333333333333334,2.1519333333333335,0.06103878927319739,4.24282787739347,1.1646411407514272,0.25
20,100,100,log_normal,distributed_edge,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,38.333333333333336,338.3333333333333,-300.0,-314.8408804770247,-285.1591195229753,-22.8747855498907,0.25,330.7332666666667,369.659,-38.92573333333331,-59.27500087314672,-18.5764657935199,-2.1646289649438115,0.25,14.033266666666666,140.679,-126.64573333333335,-132.6024237771707,-120.68904288949601,-24.05918855199785,0.25,358.0,5926.666666666667,-5568.666666666667,-5818.854949188273,-5318.478384145061,-25.187188970567785,0.25,2.5152666666666668,0.35933333333333334,2.1559333333333335,0.0650387892731974,4.24682787739347,1.1668059683001457,0.25
