energy_mode,algorithm_family,algorithm,intelligence_level,nodes,area_width_m,area_height_m,channel_model,runs,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,dcr_mean,dcr_std,dcr_ci95_low,dcr_ci95_high,tx_packets_mean,tx_packets_std,tx_packets_ci95_low,tx_packets_ci95_high,energy_mj_mean,energy_mj_std,energy_mj_ci95_low,energy_mj_ci95_high,energy_tx_mj_mean,energy_tx_mj_std,energy_tx_mj_ci95_low,energy_tx_mj_ci95_high,energy_rx_mj_mean,energy_rx_mj_std,energy_rx_mj_ci95_low,energy_rx_mj_ci95_high,energy_infer_mj_mean,energy_infer_mj_std,energy_infer_mj_ci95_low,energy_infer_mj_ci95_high,energy_consensus_mj_mean,energy_consensus_mj_std,energy_consensus_mj_ci95_low,energy_consensus_mj_ci95_high,energy_estimate_mj_mean,energy_estimate_mj_std,energy_estimate_mj_ci95_low,energy_estimate_mj_ci95_high,energy_prediction_mj_mean,energy_prediction_mj_std,energy_prediction_mj_ci95_low,energy_prediction_mj_ci95_high,collisions_mean,collisions_std,collisions_ci95_low,collisions_ci95_high,mean_tx_power_dbm_mean,mean_tx_power_dbm_std,mean_tx_power_dbm_ci95_low,mean_tx_power_dbm_ci95_high,power_changes_mean,power_changes_std,power_changes_ci95_low,power_changes_ci95_high,mean_lead_time_s_mean,mean_lead_time_s_std,mean_lead_time_s_ci95_low,mean_lead_time_s_ci95_high,operational_success_rate
calibrated,classical_baseline,distributed_edge,0,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,338.3333333333333,11.590225767142472,325.21775819874193,351.4489084679247,369.659,7.666879002566838,360.98310967428654,378.33489032571345,140.679,4.819215873977841,135.22554385903692,146.1324561409631,89.58,3.6059950083160137,85.4994325100545,93.66056748994549,93.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5926.666666666667,208.3202662568703,5690.930093536592,6162.403239796742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35933333333333334,0.32672879171161723,-0.010395100126205314,0.729061766792872,1
calibrated,classical_baseline,event_driven,0,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,338.3333333333333,11.590225767142472,325.21775819874193,351.4489084679247,276.659,7.666879002566838,267.98310967428654,285.33489032571345,140.679,4.819215873977841,135.22554385903692,146.1324561409631,89.58,3.6059950083160137,85.4994325100545,93.66056748994549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5926.666666666667,208.3202662568703,5690.930093536592,6162.403239796742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36333333333333334,0.32672879171161723,-0.006395100126205311,0.733061766792872,1
calibrated,classical_baseline,periodic,0,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,403.88,0.0,403.88,403.88,249.48,0.0,249.48,249.48,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10793.666666666666,2.0816659994661326,10791.311039833363,10796.02229349997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36333333333333334,0.32672879171161723,-0.006395100126205311,0.733061766792872,1
calibrated,intelligent_dstep,dstep_0_local,1,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,283.6666666666667,24.8461935381123,255.550551872636,311.7827814606974,348.72860000000003,18.695325238144434,327.57284792469267,369.8843520753074,117.9486,10.331047273147096,106.25791946864204,129.63928053135797,91.38,8.366289500130868,81.91265218976295,100.84734781023704,93.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4878.666666666667,426.2421064762764,4396.328316635166,5361.005016698168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1254,0.6868828357150876,-0.651881100599605,0.9026811005996052,1
calibrated,intelligent_dstep,dstep_1_consensus,2,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,0.9833333333333333,0.028867513459481315,0.9506666666666665,1.016,291.3333333333333,30.89228598426043,256.37542086069783,326.2912458059688,376.3364,22.092498872694346,351.3363840644057,401.33641593559435,121.1364,12.845012512255485,106.60089999387816,135.67190000612183,94.8,9.250902658659857,84.33161816516038,105.26838183483962,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5005.666666666667,535.949002549061,4399.183276915188,5612.150056418146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04133333333333333,0.7315052995934707,-0.8691095053358325,0.7864428386691659,1
calibrated,intelligent_dstep,dstep_2_voi,3,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,248.66666666666666,40.45161719058131,202.89135260135654,294.44198073197674,349.0556,30.58060766106522,314.4503847524073,383.6608152475928,103.3956,16.819782427843712,84.36222441164405,122.42897558835595,85.26,14.049612094289293,69.36136724369042,101.15863275630959,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4246.333333333333,694.3841396038171,3460.563708287643,5032.102958379023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.038666666666667,2.1271711293013857,2.6315459314021385,7.445787401931195,1
calibrated,intelligent_dstep,dstep_3_prediction,4,20,100,100,log_normal,3,0.9914666666666667,0.014780166891254394,0.9747413333333335,1.008192,1.0,0.0,1.0,1.0,136.66666666666666,24.78574859336174,108.61895176667683,164.71438156665647,398.056,26.12477412036321,368.49303507301664,427.6189649269833,56.826,10.305914265119808,45.16376014458423,68.48823985541577,88.5,15.30141169957857,71.18482263908336,105.81517736091664,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,70.34666666666666,4.3885912697964145,65.38050813874547,75.31282519458786,21.983333333333334,1.3714347718113815,20.43140879335796,23.53525787330871,2101.3333333333335,455.8698644715763,1585.4680189558521,2617.198647710815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.038666666666667,2.1271711293013857,2.6315459314021385,7.445787401931195,1
calibrated,intelligent_dstep,dstep_4_network_adaptive,5,20,100,100,log_normal,3,0.9914666666666667,0.014780166891254394,0.9747413333333335,1.008192,0.9833333333333333,0.028867513459481315,0.9506666666666665,1.016,37.333333333333336,4.509249752822894,32.23063687840765,42.43602978825902,300.5532,8.407582748923712,291.0391244798827,310.06727552011733,15.5232,1.8749460472237596,13.4014988140419,17.644901185958098,37.62,4.209845602869537,32.85611123555556,42.383888764444436,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,66.29333333333334,1.8937088829419733,64.1504,68.43626666666667,20.716666666666665,0.5917840259193656,20.047,21.38633333333333,498.6666666666667,65.89638330996121,424.0978891671141,573.2354441662193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2901,1.2752711515595418,-0.15300515957962446,2.7332051595796245,1
calibrated,intelligent_dstep,dstep_full,6,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,38.333333333333336,3.511884584284246,34.359261813538495,42.307404853128176,330.7332666666667,17.507515155022237,310.92164823498337,350.54488509835,14.033266666666666,1.0951574787825418,12.793979314913607,15.272554018419726,57.6,10.369937319000533,45.865311238895174,69.33468876110483,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,75.2,4.608861030666901,69.9845827728423,80.4154172271577,23.5,1.440269072083407,21.87018211651322,25.12981788348678,358.0,15.874507866387544,340.0363032757731,375.9636967242269,-15.666666666666666,0.7637626158259734,-16.5309454282811,-14.802387905052234,32.0,1.7320508075688772,30.04,33.96,2.5152666666666668,1.6025847913085078,0.7017712557707791,4.328762077562555,1
uncalibrated_reference,classical_baseline,distributed_edge,0,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,338.3333333333333,11.590225767142472,325.21775819874193,351.4489084679247,347.39666666666665,6.960102968586971,339.5205687145643,355.272764618769,118.41666666666667,4.056579018499871,113.82621536955969,123.00711796377365,89.58,3.6059950083160137,85.4994325100545,93.66056748994549,93.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5926.666666666667,208.3202662568703,5690.930093536592,6162.403239796742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35933333333333334,0.32672879171161723,-0.010395100126205314,0.729061766792872,1
uncalibrated_reference,classical_baseline,event_driven,0,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,338.3333333333333,11.590225767142472,325.21775819874193,351.4489084679247,254.39666666666668,6.960102968586971,246.52056871456432,262.27276461876903,118.41666666666667,4.056579018499871,113.82621536955969,123.00711796377365,89.58,3.6059950083160137,85.4994325100545,93.66056748994549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5926.666666666667,208.3202662568703,5690.930093536592,6162.403239796742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36333333333333334,0.32672879171161723,-0.006395100126205311,0.733061766792872,1
uncalibrated_reference,classical_baseline,periodic,0,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,364.4,0.0,364.4,364.4,210.0,0.0,210.0,210.0,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10793.666666666666,2.0816659994661326,10791.311039833363,10796.02229349997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36333333333333334,0.32672879171161723,-0.006395100126205311,0.733061766792872,1
uncalibrated_reference,intelligent_dstep,dstep_0_local,1,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,283.6666666666667,24.8461935381123,255.550551872636,311.7827814606974,330.06333333333333,17.060601786963254,310.7574449862224,349.36922168044424,99.28333333333333,8.696167738339307,89.44269315542259,109.12397351124407,91.38,8.366289500130868,81.91265218976295,100.84734781023704,93.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4878.666666666667,426.2421064762764,4396.328316635166,5361.005016698168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1254,0.6868828357150876,-0.651881100599605,0.9026811005996052,1
uncalibrated_reference,intelligent_dstep,dstep_1_consensus,2,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,0.9833333333333333,0.028867513459481315,0.9506666666666665,1.016,291.3333333333333,30.89228598426043,256.37542086069783,326.2912458059688,357.1666666666667,20.060035726123047,334.4665992948626,379.8667340384708,101.96666666666667,10.812300094491155,89.73139730124424,114.2019360320891,94.8,9.250902658659857,84.33161816516038,105.26838183483962,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5005.666666666667,535.949002549061,4399.183276915188,5612.150056418146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04133333333333333,0.7315052995934707,-0.8691095053358325,0.7864428386691659,1
