nodes,ablation_mode,runs,tx_packets_mean,tx_packets_std,energy_mj_mean,energy_mj_std,f1_mean,f1_std,dcr_mean,dcr_std,mean_lead_time_s_mean,mean_lead_time_s_std,collisions_mean,collisions_std,suppressed_tx_mean,suppressed_tx_std,mean_origin_error_m_mean,mean_origin_error_m_std,mean_speed_error_m_s_mean,mean_speed_error_m_s_std,mean_eta_error_s_mean,mean_eta_error_s_std
20,full,5,224.0,37.66961640367472,329.808,13.877014988822362,0.97924,0.021923685821503634,0.95,0.04999999999999999,-0.2077,0.739633094851765,118.8,40.25170803829323,91.2,10.425929215182693,37.40102,4.056775258995746,5.52866,2.659221493783472,1.11598,0.28580246150094646
20,no_density,5,224.0,37.66961640367472,329.808,13.877014988822362,0.97924,0.021923685821503634,0.95,0.04999999999999999,-0.2077,0.739633094851765,118.8,40.25170803829323,91.2,10.425929215182693,37.40102,4.056775258995746,5.52866,2.659221493783472,1.11598,0.28580246150094646
20,no_suppression,5,710.6,106.59408989245135,581.847,59.001365301999584,1.0,0.0,1.0,0.0,4.1307,3.2922207527746377,159.6,23.22283359110167,103.4,20.63492185592182,35.2859,4.596888356812681,10.69916,3.732619407735002,0.9395600000000001,0.1336794599031579
20,no_backoff,5,224.0,37.66961640367472,329.808,13.877014988822362,0.97924,0.021923685821503634,0.95,0.04999999999999999,-0.2077,0.739633094851765,118.8,40.25170803829323,91.2,10.425929215182693,37.40102,4.056775258995746,5.52866,2.659221493783472,1.11598,0.28580246150094646
20,no_voi,5,246.4,32.585272747055534,339.385,14.348437197130574,1.0,0.0,0.98,0.02738612787525833,-0.18568,0.5220659891239804,134.6,22.842942017174583,97.0,13.92838827718412,35.81738,6.394097016545808,7.31538,3.3783128551097805,0.84206,0.1488564341908001
20,no_consensus,5,200.2,49.41356089172283,298.855,20.942345857138356,0.95556,0.06085197613882394,0.92,0.07582875444051548,0.37409999999999993,1.5532725018489189,102.2,38.186385008272254,85.8,15.106290080625355,33.54658,5.901029454002072,6.42962,2.617620340500127,1.09814,0.24042529609007451
50,full,5,1504.6,61.30905316509137,1200.406,27.93939655754934,0.99798,0.004516857314549574,1.0,0.0,1.00294,0.5785176600588784,1061.0,42.871902220452036,386.2,27.671284755139215,41.99814,1.285822135056011,5.33988,0.834274833013678,1.16292,0.2846941727538518
50,no_density,5,1504.6,61.30905316509137,1200.406,27.93939655754934,0.99798,0.004516857314549574,1.0,0.0,1.00294,0.5785176600588784,1061.0,42.871902220452036,386.2,27.671284755139215,41.99814,1.285822135056011,5.33988,0.834274833013678,1.16292,0.2846941727538518
50,no_suppression,5,2617.8,227.68992072553408,1782.212,122.36759469933205,1.0,0.0,1.0,0.0,2.13816,1.0511056431206143,1104.8,49.43379410888871,482.8,53.05845832664195,40.19456,2.1926884065001118,7.834160000000001,1.276996866871646,0.93182,0.1349406239795859
50,no_backoff,5,1504.6,61.30905316509137,1200.406,27.93939655754934,0.99798,0.004516857314549574,1.0,0.0,1.00294,0.5785176600588784,1061.0,42.871902220452036,386.2,27.671284755139215,41.99814,1.285822135056011,5.33988,0.834274833013678,1.16292,0.2846941727538518
50,no_voi,5,1582.6,74.4264737845345,1235.623,23.149421861031435,0.9918,0.013422183130921752,1.0,0.0,0.67154,0.5555124103024162,1108.0,96.93296652842108,414.2,19.0840247327444,40.72194,2.8625538410657003,5.12178,0.33508567859578847,1.11246,0.279358520543047
50,no_consensus,5,1493.2,69.04129199254602,1146.103,31.022984140794723,1.0,0.0,0.996,0.008944271909999166,1.14624,0.5144433914436067,1041.2,53.76988004450075,393.8,31.499206339207976,42.20806,1.3085047069078517,5.6242,0.929571516882913,0.9796,0.20686440003055143
100,full,5,6065.0,354.45874231001835,3518.492,118.49340644103356,1.0,0.0,1.0,0.0,1.63936,1.1268514511682541,4996.4,380.51189206120745,941.2,50.64780350617389,42.06846,2.320676476374939,5.7623,1.1633344252621425,0.9998400000000001,0.21378547191051128
100,no_density,5,6065.0,354.45874231001835,3518.492,118.49340644103356,1.0,0.0,1.0,0.0,1.63936,1.1268514511682541,4996.4,380.51189206120745,941.2,50.64780350617389,42.06846,2.320676476374939,5.7623,1.1633344252621425,0.9998400000000001,0.21378547191051128
100,no_suppression,5,6309.0,389.6228946045137,3649.7889999999998,160.60281634361203,0.999,0.0022360679774997916,1.0,0.0,1.7558,0.9350545091062873,4997.6,323.701714545969,1005.4,114.94476934597763,42.22786,3.0468001490087917,5.767939999999999,1.336992575895618,1.05182,0.23929833263104863
100,no_backoff,5,6065.0,354.45874231001835,3518.492,118.49340644103356,1.0,0.0,1.0,0.0,1.63936,1.1268514511682541,4996.4,380.51189206120745,941.2,50.64780350617389,42.06846,2.320676476374939,5.7623,1.1633344252621425,0.9998400000000001,0.21378547191051128
100,no_voi,5,6310.0,368.73025370858846,3631.773,129.0607915673851,1.0,0.0,0.998,0.004472135954999583,1.3995,0.2869306275042802,5115.2,361.9581467518033,1037.8,17.555625878902752,42.30404,2.8979171663455126,5.02822,0.6685502127738798,0.9258000000000001,0.09710643644990792
100,no_consensus,5,6127.0,358.03980225667647,3450.297,132.63765597483996,1.0,0.0,1.0,0.0,2.1106,0.7754542056111373,4986.0,355.0844969862807,994.2,76.01776108252596,42.82346,2.640525928295345,5.456259999999999,0.48139088379403294,0.95048,0.16171231245641132
