policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,ablation_mode,run,seed
dstep,100,6081,930,291888,3520.9,155.0,62.0,465.0,105.0,322.4,100.75,2128.35,167.4,15.0,1.0,1.0,1.0,1.0,-0.2659,23,0.3141,-3.4727,3.4727,41.3653,7.5905,0.8373,5013,138,930,no_density,2,101236
dstep,100,6110,876,293280,3515.66,155.0,62.0,465.0,105.0,318.08,99.4,2138.5,157.68,15.0,1.0,1.0,1.0,1.0,-0.4951,23,0.6449,-1.3126,1.3126,39.5717,4.5848,0.7811,5126,108,876,no_density,3,101237
dstep,100,5902,1014,283296,3482.19,155.0,62.0,465.0,105.0,329.12,102.85,2065.7,182.52,15.0,1.0,1.0,1.0,1.0,-0.6251,27,0.4749,-1.1329,1.1329,40.6199,4.9435,1.0999,4758,130,1014,no_density,4,101238
dstep,100,5785,1142,277680,3467.955,155.0,62.0,465.0,105.0,331.92,103.725,2024.75,205.56,15.0,1.0,1.0,1.0,1.0,-0.7853,29,0.5047,-1.7188,1.7188,42.935,7.3236,1.3487,4484,159,1040,no_suppression,0,101234
dstep,100,6873,1334,329904,3894.97,155.0,62.0,465.0,105.0,340.8,106.5,2405.55,240.12,15.0,1.0,1.0,1.0,1.0,-0.3578,21,0.4622,-1.7696,1.7696,47.1264,5.1666,1.0563,5346,193,1141,no_suppression,1,101235
dstep,100,6343,1076,304464,3645.81,155.0,62.0,465.0,105.0,327.68,102.4,2220.05,193.68,15.0,1.0,1.0,1.0,1.0,-0.2059,22,0.4241,-3.2693,3.2693,41.0524,6.3767,0.6805,5096,171,983,no_suppression,2,101236
dstep,100,6199,951,297552,3556.005,155.0,62.0,465.0,105.0,314.8,98.375,2169.65,171.18,15.0,1.0,0.99,0.995,1.0,-0.4451,22,0.6346,-1.2281,1.2281,39.1639,3.8082,1.1037,5136,112,827,no_suppression,3,101237
dstep,100,6345,1251,304560,3684.205,155.0,62.0,465.0,105.0,332.4,103.875,2220.75,225.18,15.0,1.0,1.0,1.0,1.0,-0.6151,21,0.4749,-0.7932,0.7932,40.8616,6.1646,1.0699,4926,168,1036,no_suppression,4,101238
dstep,100,5632,960,270336,3372.3,155.0,62.0,465.0,105.0,324.8,101.5,1971.2,172.8,15.0,1.0,1.0,1.0,1.0,-0.8753,35,0.2847,-1.793,1.793,43.4151,5.8449,1.3122,4542,130,960,no_backoff,0,101234
dstep,100,6600,926,316800,3701.41,155.0,62.0,465.0,105.0,322.08,100.65,2310.0,166.68,15.0,1.0,1.0,1.0,1.0,-0.0278,15,0.8222,-0.4856,0.4856,45.3703,5.8478,0.9687,5543,131,926,no_backoff,1,101235
