nodes,ablation_mode,paired_runs,tx_increase_vs_full_pct_mean,tx_increase_vs_full_pct_std,energy_increase_vs_full_pct_mean,energy_increase_vs_full_pct_std,collision_increase_vs_full_pct_mean,collision_increase_vs_full_pct_std,f1_change_vs_full_mean,dcr_change_vs_full_mean
20,no_density,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,no_suppression,5,220.97073487251987,48.46940768131353,76.30830725019078,14.47924617905205,42.88897297381037,36.02568335381167,0.02075999999999998,0.05
20,no_backoff,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,no_voi,5,10.6236450083397,7.010962478005635,2.910310587150041,1.3873322076143415,18.83042473067127,24.080088287995213,0.02075999999999998,0.02999999999999998
20,no_consensus,5,-11.303691897737522,10.429538524088642,-9.446398341941183,3.4528246708175034,-13.623223748660719,15.288960265851586,-0.023680000000000014,-0.030000000000000006
50,no_density,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,no_suppression,5,74.35698115254367,18.56349096592568,48.54569152364505,11.02198489333296,4.226572336601184,5.366578735477875,0.0020199999999999997,0.0
50,no_backoff,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,no_voi,5,5.248871744199713,4.714035679497691,2.972072521848199,2.774957231231186,4.313140810268975,5.904603136465929,-0.0061800000000000075,0.0
50,no_consensus,5,-0.7315550087119962,3.3184315595419123,-4.513580868554514,2.0464854385644458,-1.8667447392676055,3.0355257239757787,0.0020199999999999997,-0.0040000000000000036
100,no_density,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,no_suppression,5,4.024808703348343,2.2648422843815377,3.7124959964099062,1.8733423309503396,0.11013436051839155,2.713289340266885,-0.0010000000000000009,0.0
100,no_backoff,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,no_voi,5,4.040921394728641,0.9296993855322152,3.2160972319125656,0.7489842115916218,2.411926598523657,1.184451804187652,0.0,-0.0020000000000000018
100,no_consensus,5,1.031492241058683,1.8021327641298113,-1.9428626204415431,1.5592957222784007,-0.17776872802653526,1.1104132771968147,0.0,0.0
