policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,area_width_m,area_height_m,channel_model,receiver_sensitivity_dbm,initial_tx_power_dbm,controller,run,seed
dstep,20,39,192,1872,293.87,31.0,12.4,93.0,21.0,64.96,20.3,13.65,34.56,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4219,2.4219,28.2878,9.5561,1.3246,464,14,71,192,rule_based_adaptive,-4.0,-20.0,10.0,-6.75,20,16,4,-73.7354,0.1875,0,0,0,0,0,0.002,12.547214001481091,43.700097611242654,46.2277504604981,16.8,5,19,0,1,1.0,15.952984479321923,0.22650472266644783,34.10613423387033,20.0,0.848125,100,100,rician,-95,-10,rule_based_adaptive,0,21234
dstep,20,41,265,1968,315.375,31.0,12.4,93.0,21.0,70.8,22.125,14.35,47.7,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.2245,-2.4094,2.4094,34.2595,16.3079,1.1809,271,50,193,265,channel_aware_adaptive,-15.5,-20.0,-10.0,-13.617,27,8,19,-85.4097,0.5375,21,20,21,8,0,0.002,12.547214001481091,40.87864547334732,46.2277504604981,12.7,2,19,0,1,1.0,7.191200469967233,0.12047094435627059,31.149122680332923,20.0,0.848125,100,100,rician,-95,-10,channel_aware_adaptive,0,21234
dstep,20,33,4,1584,236.195,31.0,12.4,93.0,21.0,48.4,15.125,11.55,0.72,3.0,1.0,0.05,0.0952,0.0,-1.4755,4,8.8619,8.9087,-8.9087,,,,0,0,623,4,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-93.1085,0.0526,0,0,0,0,0,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,8.263763502792742,0.7557444206449588,15.771782584940524,20.0,0.095,500,500,log_normal,-85,-10,fixed,0,21234
dstep,20,30,38,1440,244.835,31.0,12.4,93.0,21.0,51.12,15.975,10.5,6.84,3.0,1.0,0.05,0.0952,0.0,-1.4755,4,8.8619,8.9087,-8.9087,,,,0,10,522,38,rule_based_adaptive,0.5,-10.0,10.0,-4.1463,21,21,0,-88.0438,0.3472,0,0,0,0,0,8e-05,62.73607000740545,115.89126775430577,231.13875230249047,4.55,0,18,2,2,0.85,5.520867301900881,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,log_normal,-85,-10,rule_based_adaptive,0,21234
dstep,20,31,90,1488,260.005,31.0,12.4,93.0,21.0,55.28,17.275,10.85,16.2,3.0,1.0,0.05,0.0952,0.0,-1.4755,4,7.332,8.5343,-8.5343,267.0381,32.6403,16.9504,3,17,479,90,channel_aware_adaptive,2.5,-10.0,10.0,-2.6667,25,25,0,-86.0971,0.3382,1,1,1,25,0,8e-05,62.73607000740545,150.42675881373845,231.13875230249047,7.15,0,18,2,1,1.0,5.634554681887526,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,log_normal,-85,-10,channel_aware_adaptive,0,21234
dstep,20,30,57,1440,251.195,31.0,12.4,93.0,21.0,53.36,16.675,10.5,10.26,3.0,1.0,0.5,0.6667,0.55,-1.4755,4,2.9005,2.1051,-2.1051,168.2278,18.1072,2.5138,18,23,472,57,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-92.6874,0.3889,0,0,0,0,0,8e-05,62.73607000740545,77.36308822834867,231.13875230249047,3.0,0,6,1,3,0.8,4.244328483977664,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,log_normal,-95,-10,fixed,0,21234
dstep,20,34,153,1632,280.9,31.0,12.4,93.0,21.0,61.76,19.3,11.9,27.54,3.0,1.0,0.95,0.9744,0.5,-1.4755,4,6.1126,2.6781,-2.6781,240.2602,7.6824,4.7932,71,42,380,153,rule_based_adaptive,1.5,0.0,10.0,-3.9535,23,23,0,-86.985,0.425,0,0,0,0,0,8e-05,62.73607000740545,191.5966920473741,231.13875230249047,15.5,5,19,0,1,1.0,6.402862926793689,0.04456414751849991,35.771782584940524,20.0,0.095,500,500,log_normal,-95,-10,rule_based_adaptive,0,21234
dstep,20,33,147,1584,278.525,31.0,12.4,93.0,21.0,61.04,19.075,11.55,26.46,3.0,1.0,0.8,0.8889,0.85,-1.4755,4,1.8847,0.0279,-0.0279,190.9466,7.6021,2.6131,73,41,366,147,channel_aware_adaptive,-4.0,-10.0,0.0,-6.25,12,12,0,-87.658,0.3611,14,12,14,12,0,8e-05,62.73607000740545,183.32312349464698,231.13875230249047,10.8,0,18,1,1,1.0,5.977912645686804,0.04456414751849991,35.771782584940524,20.0,0.095,500,500,log_normal,-95,-10,channel_aware_adaptive,0,21234
dstep,20,32,3,1536,235.455,31.0,12.4,93.0,21.0,48.24,15.075,11.2,0.54,3.0,0.0,0.0,0.0,0.0,-1.4755,4,,,,,,,0,0,605,3,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-93.8403,0.0278,0,0,0,0,0,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,8.263763502792742,0.7557444206449588,15.771782584940524,20.0,0.095,500,500,rician,-85,-10,fixed,0,21234
dstep,20,32,31,1536,243.54,31.0,12.4,93.0,21.0,50.56,15.8,11.2,5.58,3.0,1.0,0.05,0.0952,0.0,-1.4755,4,6.8619,6.9087,-6.9087,50.364,5.4961,0.9072,0,12,565,31,rule_based_adaptive,1.5,0.0,10.0,-3.9535,23,23,0,-88.7659,0.3125,0,0,0,0,0,8e-05,62.73607000740545,113.01396078395604,231.13875230249047,4.85,0,18,1,2,0.85,5.374652810214856,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,rician,-85,-10,rule_based_adaptive,0,21234
dstep,20,32,60,1536,251.805,31.0,12.4,93.0,21.0,52.88,16.525,11.2,10.8,3.0,1.0,0.05,0.0952,0.0,-1.4755,4,3.8656,3.8656,-3.8656,306.8538,10.0,0.1329,3,18,527,60,channel_aware_adaptive,4.0,-10.0,10.0,-2.2917,28,28,0,-87.0533,0.3289,1,1,1,28,0,8e-05,62.73607000740545,159.20049746287103,231.13875230249047,8.05,0,18,1,1,1.0,5.853587788536379,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,rician,-85,-10,channel_aware_adaptive,0,21234
dstep,20,31,51,1488,249.94,31.0,12.4,93.0,21.0,52.96,16.55,10.85,9.18,3.0,1.0,0.55,0.7097,0.6,-1.4755,4,2.2705,0.9714,-0.9714,137.2019,14.5486,2.6249,15,17,506,51,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-93.241,0.3194,0,0,0,0,0,8e-05,62.73607000740545,77.36308822834867,231.13875230249047,3.0,0,6,1,3,0.8,4.244328483977664,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,rician,-95,-10,fixed,0,21234
dstep,20,27,140,1296,273.695,31.0,12.4,93.0,21.0,59.92,18.725,9.45,25.2,3.0,1.0,0.45,0.6207,0.05,-1.4755,4,6.4184,6.8779,-6.8779,217.2605,21.91,5.7775,38,38,297,140,rule_based_adaptive,-2.0,-10.0,10.0,-5.2632,18,17,1,-88.6686,0.4531,0,0,0,0,0,8e-05,62.73607000740545,178.8559498176369,231.13875230249047,11.7,3,19,0,1,1.0,5.776586002409515,0.04456414751849991,25.771782584940524,20.0,0.095,500,500,rician,-95,-10,rule_based_adaptive,0,21234
dstep,20,29,127,1392,270.9,31.0,12.4,93.0,21.0,59.04,18.45,10.15,22.86,3.0,1.0,0.55,0.7097,0.05,-1.4755,4,8.2961,7.2286,-7.2286,219.1155,7.396,4.4417,43,39,342,127,channel_aware_adaptive,-3.0,-10.0,0.0,-5.8333,16,15,1,-88.7634,0.4265,8,7,8,15,0,8e-05,62.73607000740545,172.6015449940203,231.13875230249047,11.15,2,18,0,1,1.0,5.8819752269336005,0.002917948976616458,35.771782584940524,20.0,0.095,500,500,rician,-95,-10,channel_aware_adaptive,0,21234
