policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,algorithm_family,algorithm,ai_compute_scale,area_width_m,area_height_m,channel_model,run,seed
distributed_edge,20,326,477,15648,277.1108,31.0,12.4,9.3,0.0,0.0,0.0,135.5508,85.86,3.0,1.0,1.0,1.0,1.0,-0.4656,6,,-0.4656,0.4656,,,,5712,5,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.9593,0.05,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,classical_baseline,distributed_edge,0.1,100,100,log_normal,2,201236
dstep,20,38,307,1824,136.7228,31.0,12.4,9.3,2.1,7.416,2.3175,13.9293,55.26,3.0,1.0,1.0,1.0,1.0,-0.4656,6,0.3344,-3.4054,3.4054,43.7435,9.887,1.3459,376,28,11,307,channel_aware_adaptive,-16.5,-20.0,-10.0,-8.6792,33,0,33,-74.6678,0.45,21,21,21,0,0,0.002,10.4335271424556,48.16178788748137,52.53599547102051,11.7,5,19,0,1,1.0,6.333238195714137,0.19259874534107269,29.750485346222945,20.0,0.775625,intelligent_dstep,dstep_full,0.1,100,100,log_normal,2,201236
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,-1.2647,7,,-1.2647,1.2647,,,,10796,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.1848,0.05,0,0,0,0,0,0.002,13.054923516537292,56.27241460539051,56.27241460539051,19.0,19,19,0,1,1.0,18.10646059914973,8.757276756669455,41.55852536576197,20.0,0.865625,classical_baseline,periodic,0.1,100,100,log_normal,3,201237
event_driven,20,324,479,15552,267.3392,31.0,12.4,0.0,0.0,0.0,0.0,134.7192,86.22,3.0,1.0,1.0,1.0,1.0,-1.2647,7,,-1.2647,1.2647,,,,5676,1,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.3502,0.05,0,0,0,0,0,0.002,13.054923516537292,56.27241460539051,56.27241460539051,19.0,19,19,0,1,1.0,18.10646059914973,8.757276756669455,41.55852536576197,20.0,0.865625,classical_baseline,event_driven,0.1,100,100,log_normal,3,201237
distributed_edge,20,324,479,15552,276.6392,31.0,12.4,9.3,0.0,0.0,0.0,134.7192,86.22,3.0,1.0,1.0,1.0,1.0,-1.2607,7,,-1.2607,1.2607,,,,5676,1,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.3502,0.05,0,0,0,0,0,0.002,13.054923516537292,56.27241460539051,56.27241460539051,19.0,19,19,0,1,1.0,18.10646059914973,8.757276756669455,41.55852536576197,20.0,0.865625,classical_baseline,distributed_edge,0.1,100,100,log_normal,3,201237
dstep,20,40,323,1920,140.3945,31.0,12.4,9.3,2.1,7.544,2.3575,14.553,58.14,3.0,1.0,1.0,1.0,1.0,-1.2607,7,0.9393,-1.1986,1.1986,45.7678,16.6896,1.1671,385,22,30,323,channel_aware_adaptive,-16.0,-20.0,-10.0,-8.4615,32,0,32,-78.4146,0.475,22,22,22,0,0,0.002,13.054923516537292,44.81407489551897,56.27241460539051,12.4,3,19,0,1,1.0,5.872016201512199,0.06979691148487177,23.258816415128052,20.0,0.865625,intelligent_dstep,dstep_full,0.1,100,100,log_normal,3,201237
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,-0.48,5,,-0.48,0.48,,,,10798,2,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.6832,0.05,0,0,0,0,0,0.002,12.433882628880202,52.74897562428867,52.74897562428867,19.0,19,19,0,1,1.0,18.65101300997312,8.592049446710377,39.065336364742386,20.0,0.81,classical_baseline,periodic,0.1,100,100,log_normal,4,201238
event_driven,20,316,496,15168,267.0728,31.0,12.4,0.0,0.0,0.0,0.0,131.3928,89.28,3.0,1.0,1.0,1.0,1.0,-0.48,5,,-0.48,0.48,,,,5505,3,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.4372,0.05,0,0,0,0,0,0.002,12.433882628880202,52.74897562428867,52.74897562428867,19.0,19,19,0,1,1.0,18.65101300997312,8.592049446710377,39.065336364742386,20.0,0.81,classical_baseline,event_driven,0.1,100,100,log_normal,4,201238
distributed_edge,20,316,496,15168,276.3728,31.0,12.4,9.3,0.0,0.0,0.0,131.3928,89.28,3.0,1.0,1.0,1.0,1.0,-0.476,5,,-0.476,0.476,,,,5505,3,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.4372,0.05,0,0,0,0,0,0.002,12.433882628880202,52.74897562428867,52.74897562428867,19.0,19,19,0,1,1.0,18.65101300997312,8.592049446710377,39.065336364742386,20.0,0.81,classical_baseline,distributed_edge,0.1,100,100,log_normal,4,201238
dstep,20,38,346,1824,144.1523,31.0,12.4,9.3,2.1,7.728,2.415,13.9293,62.28,3.0,1.0,1.0,1.0,1.0,-0.476,5,1.374,-2.9221,2.9221,49.1426,16.5052,1.7589,339,18,19,346,channel_aware_adaptive,-16.0,-20.0,-10.0,-8.4615,32,0,32,-75.5048,0.5125,20,19,20,0,0,0.002,12.433882628880202,43.721025984662276,52.74897562428867,11.6,5,19,0,1,1.0,7.469558937866204,0.3380602471241616,24.405187462356466,20.0,0.81,intelligent_dstep,dstep_full,0.1,100,100,log_normal,4,201238
