nodes,area_width_m,area_height_m,channel_model,ai_compute_scale,baseline,paired_runs,energy_mj_full_mean,energy_mj_baseline_mean,energy_mj_diff_mean,energy_mj_diff_ci95_low,energy_mj_diff_ci95_high,energy_mj_wilcoxon_p,f1_full_mean,f1_baseline_mean,f1_diff_mean,f1_diff_ci95_low,f1_diff_ci95_high,f1_wilcoxon_p,dcr_full_mean,dcr_baseline_mean,dcr_diff_mean,dcr_diff_ci95_low,dcr_diff_ci95_high,dcr_wilcoxon_p,tx_packets_full_mean,tx_packets_baseline_mean,tx_packets_diff_mean,tx_packets_diff_ci95_low,tx_packets_diff_ci95_high,tx_packets_wilcoxon_p,collisions_full_mean,collisions_baseline_mean,collisions_diff_mean,collisions_diff_ci95_low,collisions_diff_ci95_high,collisions_wilcoxon_p
20,100,100,log_normal,1.0,periodic,10,333.92933,403.88,-69.95066999999999,-75.83634905411293,-64.06499094588705,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,377.9,10796.0,-10418.1,-10434.043073675493,-10402.156926324507,0.001953125
20,100,100,log_normal,1.0,event_driven,10,333.92933,277.28906,56.64027000000001,49.74573386990244,63.53480613009758,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,1.0,distributed_edge,10,333.92933,370.28906,-36.35972999999999,-43.25426613009756,-29.465193869902425,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,1.25,periodic,10,387.35366,403.88,-16.526339999999998,-22.923430050643493,-10.129249949356502,0.00390625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,377.9,10796.0,-10418.1,-10434.043073675493,-10402.156926324507,0.001953125
20,100,100,log_normal,1.25,event_driven,10,387.35366,277.28906,110.0646,102.83288900238747,117.29631099761252,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,1.25,distributed_edge,10,387.35366,393.53906,-6.185399999999999,-13.417110997612518,1.0463109976125216,0.16015625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,1.5,periodic,10,440.77806,403.88,36.89806,29.9894423231308,43.8066776768692,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,377.9,10796.0,-10418.1,-10434.043073675493,-10402.156926324507,0.001953125
20,100,100,log_normal,1.5,event_driven,10,440.77806,277.28906,163.489,155.90050044798517,171.07749955201484,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,1.5,distributed_edge,10,440.77806,416.78906,23.989000000000004,16.400500447985163,31.577499552014846,0.00390625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,2.0,periodic,10,547.62683,403.88,143.74683000000002,135.81494331424545,151.67871668575458,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,377.9,10796.0,-10418.1,-10434.043073675493,-10402.156926324507,0.001953125
