nodes,policy,energy_mj_mean
20,send_on_delta,727.1997433333333
20,voi_baseline,638.4032
20,dstep,389.71789666666666
20,dstep_payoff,362.8545533333333
50,send_on_delta,3833.5292
50,voi_baseline,3080.491636666666
50,dstep,1605.6833233333334
50,dstep_payoff,1538.3532533333332
100,send_on_delta,14525.035503333333
100,voi_baseline,11085.127416666666
100,dstep,5083.57842
100,dstep_payoff,4994.073653333333
