nodes,policy,confirmation_f1_mean,awareness_recall_mean,dcr_mean,tx_packets_mean,energy_mj_mean
20,send_on_delta,0.9922733333333332,0.985,0.9816666666666668,39.7,221.74984333333333
20,voi_baseline,0.9922733333333332,0.985,0.9816666666666668,39.46666666666667,313.67741
20,dstep,0.57464,0.71,0.6483333333333333,29.33333333333333,362.53024
20,dstep_payoff,0.7851266666666666,0.935,0.9183333333333332,37.1,339.28806
50,send_on_delta,0.9932466666666668,0.9866666666666668,0.9813333333333332,101.46666666666668,1110.8056166666663
50,voi_baseline,0.9932466666666668,0.9866666666666668,0.9813333333333332,100.8,1336.871216666667
50,dstep,0.9089933333333332,0.9846666666666668,0.9793333333333332,92.1,1521.1357766666667
50,dstep_payoff,0.85016,0.9986666666666668,0.998,98.36666666666666,1436.4148366666666
100,send_on_delta,0.9919233333333334,0.984,0.9766666666666668,202.26666666666668,4028.602486666666
100,voi_baseline,0.9919233333333334,0.984,0.9766666666666668,199.46666666666667,4441.203356666667
100,dstep,0.9666066666666666,0.9996666666666668,0.9996666666666668,195.96666666666667,4979.7335533333335
100,dstep_payoff,0.89579,0.9996666666666668,0.9996666666666668,199.4333333333333,4745.015253333333
