event_model,nodes,relative_energy_reduction_pct
deterministic,20,6.893022764184248
deterministic,50,4.1932346821804005
deterministic,100,1.7606646199168285
physical_pulse,20,6.411101043598465
physical_pulse,50,5.569584339515895
physical_pulse,100,4.713471061978502
absent,20,19.749882339713203
absent,50,14.788222975425263
absent,100,15.492139170831468
