event_model,nodes,delta_mean_confirmation_f1,delta_mean_awareness_recall,delta_mean_dcr,delta_mean_tx_packets,delta_mean_energy_mj,p_holm_energy_mj
deterministic,20,0.1099966666666666,0.0933333333333333,0.2466666666666666,6.833333333333333,-26.863343333333333,1.4193356037139893e-06
deterministic,50,0.0043899999999999,0.0006666666666666,0.014,7.866666666666666,-67.33007000000002,1.30385160446167e-08
deterministic,100,0.0001666666666666,0.0,0.0,10.8,-89.50476666666673,3.453157842159271e-05
physical_pulse,20,0.2104866666666666,0.225,0.2699999999999999,7.766666666666667,-23.242180000000005,1.38208270072937e-06
physical_pulse,50,-0.0588333333333333,0.014,0.0186666666666666,6.266666666666667,-84.72094,2.0798295736312863e-05
physical_pulse,100,-0.0708166666666666,0.0,0.0,3.466666666666667,-234.71829999999997,1.30385160446167e-08
absent,20,0.0,0.0,0.0,1.6,-52.25050333333333,1.30385160446167e-08
absent,50,0.0,0.0,0.0,4.2,-111.5213266666667,1.30385160446167e-08
absent,100,0.0,0.0,0.0,0.7333333333333333,-315.4865366666666,1.30385160446167e-08
