nodes,policy,dcr_mean
20,send_on_delta,0.9816666666666668
20,voi_baseline,0.9816666666666668
20,dstep,0.6483333333333333
20,dstep_payoff,0.9183333333333332
50,send_on_delta,0.9813333333333332
50,voi_baseline,0.9813333333333332
50,dstep,0.9793333333333332
50,dstep_payoff,0.998
100,send_on_delta,0.9766666666666668
100,voi_baseline,0.9766666666666668
100,dstep,0.9996666666666668
100,dstep_payoff,0.9996666666666668
