nodes,policy,confirmation_f1_mean,awareness_recall_mean,dcr_mean,tx_packets_mean,energy_mj_mean
20,dstep,0.8900033333333334,0.9066666666666666,0.75,35.0,389.71789666666666
20,dstep_payoff,1.0,1.0,0.9966666666666668,41.833333333333336,362.8545533333333
50,dstep,0.99561,0.9993333333333332,0.986,100.6,1605.6833233333334
50,dstep_payoff,1.0,1.0,1.0,108.46666666666668,1538.3532533333332
100,dstep,0.9998333333333334,1.0,1.0,201.83333333333331,5083.57842
100,dstep_payoff,1.0,1.0,1.0,212.63333333333333,4994.073653333333
