algorithm_family,algorithm,intelligence_level,nodes,area_width_m,area_height_m,channel_model,runs,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,dcr_mean,dcr_std,dcr_ci95_low,dcr_ci95_high,mean_lead_time_s_mean,mean_lead_time_s_std,mean_lead_time_s_ci95_low,mean_lead_time_s_ci95_high,tx_packets_mean,tx_packets_std,tx_packets_ci95_low,tx_packets_ci95_high,rx_packets_mean,rx_packets_std,rx_packets_ci95_low,rx_packets_ci95_high,energy_mj_mean,energy_mj_std,energy_mj_ci95_low,energy_mj_ci95_high,energy_infer_mj_mean,energy_infer_mj_std,energy_infer_mj_ci95_low,energy_infer_mj_ci95_high,energy_consensus_mj_mean,energy_consensus_mj_std,energy_consensus_mj_ci95_low,energy_consensus_mj_ci95_high,energy_estimate_mj_mean,energy_estimate_mj_std,energy_estimate_mj_ci95_low,energy_estimate_mj_ci95_high,energy_prediction_mj_mean,energy_prediction_mj_std,energy_prediction_mj_ci95_low,energy_prediction_mj_ci95_high,energy_tx_mj_mean,energy_tx_mj_std,energy_tx_mj_ci95_low,energy_tx_mj_ci95_high,energy_rx_mj_mean,energy_rx_mj_std,energy_rx_mj_ci95_low,energy_rx_mj_ci95_high,collisions_mean,collisions_std,collisions_ci95_low,collisions_ci95_high,channel_losses_mean,channel_losses_std,channel_losses_ci95_low,channel_losses_ci95_high,below_sensitivity_mean,below_sensitivity_std,below_sensitivity_ci95_low,below_sensitivity_ci95_high,mean_tx_power_dbm_mean,mean_tx_power_dbm_std,mean_tx_power_dbm_ci95_low,mean_tx_power_dbm_ci95_high,power_changes_mean,power_changes_std,power_changes_ci95_low,power_changes_ci95_high,radio_backoff_actions_mean,radio_backoff_actions_std,radio_backoff_actions_ci95_low,radio_backoff_actions_ci95_high,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_ci95_low,largest_component_fraction_ci95_high,operational_success_rate
classical_baseline,distributed_edge,0,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.35933333333333334,0.32672879171161723,-0.010395100126205314,0.729061766792872,338.3333333333333,11.590225767142472,325.21775819874193,351.4489084679247,497.6666666666667,20.033305601755625,474.9968472780807,520.3364860552527,347.39666666666665,6.960102968586971,339.5205687145643,355.272764618769,93.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.41666666666667,4.056579018499871,113.82621536955969,123.00711796377365,89.58,3.6059950083160137,85.4994325100545,93.66056748994549,5926.666666666667,208.3202662568703,5690.930093536592,6162.403239796742,4.0,1.0,2.8683934723883335,5.131606527611666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
classical_baseline,event_driven,0,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.36333333333333334,0.32672879171161723,-0.006395100126205311,0.733061766792872,338.3333333333333,11.590225767142472,325.21775819874193,351.4489084679247,497.6666666666667,20.033305601755625,474.9968472780807,520.3364860552527,254.39666666666668,6.960102968586971,246.52056871456432,262.27276461876903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.41666666666667,4.056579018499871,113.82621536955969,123.00711796377365,89.58,3.6059950083160137,85.4994325100545,93.66056748994549,5926.666666666667,208.3202662568703,5690.930093536592,6162.403239796742,4.0,1.0,2.8683934723883335,5.131606527611666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
classical_baseline,periodic,0,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.36333333333333334,0.32672879171161723,-0.006395100126205311,0.733061766792872,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,364.4,0.0,364.4,364.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,210.0,210.0,108.0,0.0,108.0,108.0,10793.666666666666,2.0816659994661326,10791.311039833363,10796.02229349997,6.333333333333333,2.0816659994661326,3.977706500030193,8.688960166636473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
intelligent_dstep,dstep_0_local,1,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1254,0.6868828357150876,-0.651881100599605,0.9026811005996052,283.6666666666667,24.8461935381123,255.550551872636,311.7827814606974,507.6666666666667,46.47938611183815,455.0702899431276,560.2630433902058,330.06333333333333,17.060601786963254,310.7574449862224,349.36922168044424,93.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.28333333333333,8.696167738339307,89.44269315542259,109.12397351124407,91.38,8.366289500130868,81.91265218976295,100.84734781023704,4878.666666666667,426.2421064762764,4396.328316635166,5361.005016698168,3.3333333333333335,1.1547005383792515,2.026666666666667,4.640000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
intelligent_dstep,dstep_1_consensus,2,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,0.9833333333333333,0.028867513459481315,0.9506666666666665,1.016,-0.04133333333333333,0.7315052995934707,-0.8691095053358325,0.7864428386691659,291.3333333333333,30.89228598426043,256.37542086069783,326.2912458059688,526.6666666666666,51.39390365922142,468.50898980644655,584.8243435268867,357.1666666666667,20.060035726123047,334.4665992948626,379.8667340384708,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.96666666666667,10.812300094491155,89.73139730124424,114.2019360320891,94.8,9.250902658659857,84.33161816516038,105.26838183483962,5005.666666666667,535.949002549061,4399.183276915188,5612.150056418146,3.0,1.0,1.8683934723883335,4.131606527611666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
intelligent_dstep,dstep_2_voi,3,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.038666666666667,2.1271711293013857,2.6315459314021385,7.445787401931195,248.66666666666666,40.45161719058131,202.89135260135654,294.44198073197674,473.6666666666667,78.05340052382941,385.34092913161345,561.9924042017199,332.6933333333333,27.941643354200423,301.074387321523,364.3122793451437,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.03333333333333,14.15806601670346,71.0119734104748,103.05469325619187,85.26,14.049612094289293,69.36136724369042,101.15863275630959,4246.333333333333,694.3841396038171,3460.563708287643,5032.102958379023,4.666666666666667,3.2145502536643185,1.029060616284386,8.304272717048947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
intelligent_dstep,dstep_3_prediction,4,20,100,100,log_normal,3,0.9914666666666667,0.014780166891254394,0.9747413333333335,1.008192,1.0,0.0,1.0,1.0,5.038666666666667,2.1271711293013857,2.6315459314021385,7.445787401931195,136.66666666666666,24.78574859336174,108.61895176667683,164.71438156665647,491.6666666666667,85.00784277543652,395.47123688379645,587.8620964495369,389.06333333333333,25.10680452254594,360.6523094481502,417.47435721851645,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,70.34666666666666,4.3885912697964145,65.38050813874547,75.31282519458786,21.983333333333334,1.3714347718113815,20.43140879335796,23.53525787330871,47.833333333333336,8.675012007676608,38.0166331183369,57.65003354832977,88.5,15.30141169957857,71.18482263908336,105.81517736091664,2101.3333333333335,455.8698644715763,1585.4680189558521,2617.198647710815,3.6666666666666665,2.0816659994661326,1.3110398333635267,6.022293499969806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
intelligent_dstep,dstep_4_network_adaptive,5,20,100,100,log_normal,3,0.9914666666666667,0.014780166891254394,0.9747413333333335,1.008192,0.9833333333333333,0.028867513459481315,0.9506666666666665,1.016,1.2901,1.2752711515595418,-0.15300515957962446,2.7332051595796245,37.333333333333336,4.509249752822894,32.23063687840765,42.43602978825902,209.0,23.388031127053,182.53395130864197,235.46604869135803,298.09666666666664,8.131796132056754,288.89467308242394,307.29866025090934,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,66.29333333333334,1.8937088829419733,64.1504,68.43626666666667,20.716666666666665,0.5917840259193656,20.047,21.38633333333333,13.066666666666666,1.5782374134880124,11.280722907442678,14.852610425890655,37.62,4.209845602869537,32.85611123555556,42.383888764444436,498.6666666666667,65.89638330996121,424.0978891671141,573.2354441662193,1.6666666666666667,0.5773502691896257,1.0133333333333334,2.3200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
intelligent_dstep,dstep_full,6,20,100,100,log_normal,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.5152666666666668,1.6025847913085078,0.7017712557707791,4.328762077562555,38.333333333333336,3.511884584284246,34.359261813538495,42.307404853128176,320.0,57.61076288333631,254.80728466052872,385.1927153394713,330.1166666666667,17.640751353990957,310.15427728251615,350.0790560508172,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,75.2,4.608861030666901,69.9845827728423,80.4154172271577,23.5,1.440269072083407,21.87018211651322,25.12981788348678,13.416666666666666,1.2291596044994857,12.025741634738473,14.807591698594859,57.6,10.369937319000533,45.865311238895174,69.33468876110483,358.0,15.874507866387544,340.0363032757731,375.9636967242269,24.666666666666668,4.163331998932265,19.95541300006039,29.377920333272947,25.666666666666668,20.428737928059416,2.5493734764066005,48.783959856926735,-15.666666666666666,0.7637626158259734,-16.5309454282811,-14.802387905052234,32.0,1.7320508075688772,30.04,33.96,20.333333333333332,0.5773502691896257,19.68,20.986666666666665,1.0,0.0,1.0,1.0,1
