policy,nodes,tx_packets,rx_packets,bytes_tx,link_delivery_attempts,link_delivery_successes,link_delivery_failures,link_pdr,collision_loss_rate,channel_loss_rate,sensitivity_loss_rate,out_of_range_loss_rate,energy_mj,energy_payoff_mj,payoff_decisions,payoff_compute_accepted,payoff_compute_rejected,payoff_transmit_accepted,payoff_transmit_rejected,payoff_optional_compute_skipped,payoff_estimated_tx_energy_saved_mj,payoff_reliability_overrides,energy_per_node_mean_mj,energy_per_node_std_mj,energy_cv,energy_jain_fairness,battery_residual_jain_fairness,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,battery_mode,battery_capacity_mah,battery_voltage_v,battery_initial_energy_mj_per_node,battery_alive_nodes,battery_dead_nodes,battery_mean_remaining_pct,battery_fnd_time_s,battery_hnd_time_s,battery_lnd_time_s,battery_mean_estimated_lifetime_s,battery_min_estimated_lifetime_s,battery_max_estimated_lifetime_s,precision,recall,f1,confirmation_precision,confirmation_recall,confirmation_f1,awareness_recall,false_confirmation_rate,false_awareness_rate,network_false_alarm,event_level_confirmed,event_level_alerted,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,mac_mode,mac_cca_busy,mac_backoff_events,mac_access_drops,mac_queue_enabled,mac_queue_capacity,mac_queue_enqueued,mac_queue_drops,mac_max_queue_depth,mean_mac_queue_delay_s,max_mac_queue_delay_s,mean_mac_service_time_s,max_mac_service_time_s,mac_reliability_enabled,mac_max_retries,mac_retry_tx_frames,mac_retries_scheduled,mac_retry_exhausted,mac_ack_timeouts,mac_ack_tx_frames,mac_ack_rx_frames,mac_ack_losses,mac_ack_collisions,mac_ack_channel_losses,mac_ack_below_sensitivity,mac_duplicate_data_rx,mac_retry_tx_energy_mj,mac_ack_energy_mj,mac_unicast_frames_started,mac_unicast_frames_success,mac_unicast_frames_failed,mac_unicast_queue_drops,mac_unicast_delivery_ratio,mac_unicast_confirmed_delivery_ratio,mac_unicast_data_frames_received,mac_unicast_data_delivery_ratio,mac_reliable_frames_started,mac_reliable_frames_success,mac_reliable_frames_failed,mac_reliable_queue_drops,mac_reliable_delivery_ratio,mac_reliable_data_frames_received,mac_reliable_data_delivery_ratio,mac_pending_requests,physical_link_pdr_per_attempt,physical_tx_frames,interfered_receptions,mean_sinr_db,min_sinr_db,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,communication_architecture,routing_packets,routing_sink_data_arrivals,routing_delivered,routing_no_route,routing_hops_attempted,routing_hops_successful,routing_hops_failed,mean_route_hops_delivered,event_model,run,seed
send_on_delta,20,130,252,6240,2470,252,2218,0.102,0.5575,0.3405,0.0,0.0,620.7296,0.0,0,0,0,0,0,0,0.0,0,31.0365,1.1422,0.0368,0.9986,,31.0,12.4,0.0,0.0,0.0,0.0,129.7296,444.6,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.9289,5,,-0.9289,0.9289,,,,1377,841,0,0,csma_ca_lite,1,1,0,True,16,130,0,0,0.0,0.0,0.008817,0.036347,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.102,130,1482,-5.4989,-54.9949,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-90.0523,0.45,76,62,76,50,0,distributed,0,0,0,0,0,0,0,,deterministic,1,6020001
teen_like,20,161,285,7728,3059,285,2774,0.0932,0.5665,0.3403,0.0,0.0,757.6851,0.0,0,0,0,0,0,0,0.0,0,37.8843,1.4965,0.0395,0.9984,,31.0,12.4,0.0,0.0,0.0,0.0,160.6651,550.62,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.9289,5,,-0.9289,0.9289,,,,1733,1041,0,0,csma_ca_lite,5,5,0,True,16,161,0,0,0.0,0.0,0.010565,0.059251,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0932,161,1843,-6.3117,-54.1225,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-90.5877,0.3625,93,84,93,61,0,distributed,0,0,0,0,0,0,0,,deterministic,1,6020001
distributed_edge,20,316,513,15168,6004,513,5491,0.0854,0.5693,0.3453,0.0,0.0,1534.6311,0.0,0,0,0,0,0,0,0.0,0,76.7316,2.1156,0.0276,0.9992,,31.0,12.4,93.0,0.0,0.0,0.0,314.5111,1080.72,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.9249,5,,-0.9249,0.9249,,,,3418,2073,0,0,csma_ca_lite,15,15,0,True,16,316,0,0,0.0,0.0,0.01381,0.079813,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0854,316,3553,-9.2756,-60.322,channel_aware_adaptive,20.0,20.0,20.0,19.5455,2,1,1,-90.3948,0.2625,183,174,183,121,0,distributed,0,0,0,0,0,0,0,,deterministic,1,6020001
voi_baseline,20,91,179,4368,1729,179,1550,0.1035,0.5778,0.3187,0.0,0.0,541.4307,0.0,0,0,0,0,0,0,0.0,0,27.0715,1.3802,0.051,0.9974,,31.0,12.4,93.0,0.0,0.0,0.0,90.8107,311.22,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.9249,5,,-0.9249,0.9249,,,,999,551,0,0,csma_ca_lite,1,1,0,True,16,91,0,0,0.0,0.0,0.00742,0.037112,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1035,91,1064,-4.4295,-50.4088,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.6883,0.3625,52,48,52,34,0,distributed,0,0,0,0,0,0,0,,deterministic,1,6020001
dstep,20,34,74,1632,646,74,572,0.1146,0.4892,0.3963,0.0,0.0,382.9543,0.0,0,0,0,0,0,0,0.0,0,19.1477,0.5385,0.0281,0.9992,,31.0,12.4,93.0,21.0,55.12,17.225,33.9293,116.28,3.0,ideal,,,,20,0,,,,,,,,1.0,0.75,0.8571,1.0,0.75,0.8571,0.9,0.0,0.0,0,1,1,0.45,-0.9249,5,4.6102,3.8359,-3.8359,63.3084,5.3973,3.4531,316,256,0,74,csma_ca_lite,1,1,0,True,16,34,0,1,4.3e-05,0.000728,0.004024,0.017533,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1146,34,342,-3.5341,-51.3595,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.8757,0.4375,17,14,17,15,0,distributed,0,0,0,0,0,0,0,,deterministic,1,6020001
dstep_payoff,20,42,73,2016,798,73,725,0.0915,0.6679,0.2406,0.0,0.0,358.5776,7.9,790,45,628,86,31,628,30.9355,39,17.9289,0.3743,0.0209,0.9996,,31.0,12.4,93.0,21.0,3.6,1.125,41.9126,143.64,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,0.95,-0.9247,5,1.3253,0.7309,-0.7309,61.5585,7.5305,2.4523,533,192,0,75,csma_ca_lite,2,2,0,True,16,42,0,1,0.000383,0.010979,0.006309,0.017533,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0915,42,570,-5.5151,-51.8182,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.6652,0.4,27,27,27,13,0,distributed,0,0,0,0,0,0,0,,deterministic,1,6020001
periodic,50,1500,6902,72000,73500,6902,66598,0.0939,0.6655,0.2406,0.0,0.0,14824.5848,0.0,0,0,0,0,0,0,0.0,0,296.4917,0.9358,0.0032,1.0,,77.5,31.0,0.0,0.0,0.0,0.0,1478.5848,13230.0,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.7058,15,,-0.7058,0.7058,,,,48911,17687,0,0,csma_ca_lite,259,259,0,True,16,1500,0,0,0.0,0.0,0.022285,0.084189,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0939,1500,51646,-10.447,-61.4308,channel_aware_adaptive,19.6,10.0,20.0,17.5532,44,21,23,-83.7572,0.555,885,760,885,267,0,distributed,0,0,0,0,0,0,0,,deterministic,0,6050000
event_driven,50,838,4018,40224,41062,4018,37044,0.0979,0.6654,0.2368,0.0,0.0,8330.943,0.0,0,0,0,0,0,0,0.0,0,166.6189,2.5841,0.0155,0.9998,,77.5,31.0,0.0,0.0,0.0,0.0,823.783,7391.16,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.7058,15,,-0.7058,0.7058,,,,27321,9723,0,0,csma_ca_lite,123,123,0,True,16,838,0,0,0.0,0.0,0.018364,0.084039,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0979,838,28910,-8.9048,-64.7229,channel_aware_adaptive,19.6,10.0,20.0,18.3333,22,10,12,-84.2519,0.515,504,425,504,146,0,distributed,0,0,0,0,0,0,0,,deterministic,0,6050000
send_on_delta,50,363,1858,17424,17787,1858,15929,0.1045,0.6394,0.2561,0.0,0.0,3673.2522,0.0,0,0,0,0,0,0,0.0,0,73.465,1.8159,0.0247,0.9994,,77.5,31.0,0.0,0.0,0.0,0.0,355.5922,3201.66,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.7058,15,,-0.7058,0.7058,,,,11373,4556,0,0,csma_ca_lite,49,49,0,True,16,363,0,0,0.0,0.0,0.010267,0.080606,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1045,363,12005,-6.6278,-60.1583,channel_aware_adaptive,19.4,10.0,20.0,18.7302,13,5,8,-84.676,0.57,206,175,206,65,0,distributed,0,0,0,0,0,0,0,,deterministic,0,6050000
teen_like,50,454,2250,21792,22246,2250,19996,0.1011,0.6355,0.2633,0.0,0.0,4567.5145,0.0,0,0,0,0,0,0,0.0,0,91.3503,2.3745,0.026,0.9993,,77.5,31.0,0.0,0.0,0.0,0.0,447.2345,4004.28,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.7058,15,,-0.7058,0.7058,,,,14138,5858,0,0,csma_ca_lite,58,58,0,True,16,454,0,0,0.0,0.0,0.012515,0.077801,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1011,454,14945,-7.2087,-58.6909,channel_aware_adaptive,19.8,10.0,20.0,18.5507,19,9,10,-83.6281,0.545,263,217,263,87,0,distributed,0,0,0,0,0,0,0,,deterministic,0,6050000
