policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,sensing_radius_m,estimated_sensing_coverage_fraction,area_width_m,area_height_m,channel_model,tx_power_dbm,neighbor_radius_m,run,seed
dstep,20,39,180,1872,290.45,31.0,12.4,93.0,21.0,64.0,20.0,13.65,32.4,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.2719,2.2719,28.2648,9.361,1.4661,453,96,180,0.002,12.547214001481091,45.25985187519882,46.2277504604981,18.7,16,19,0,1,1.0,20.0,0.848125,100,100,rician,0,100.0,0,21234
event_driven,20,84,36,4032,82.28,31.0,12.4,0.0,0.0,0.0,0.0,29.4,6.48,3.0,0.6667,1.0,0.8,1.0,-2.6646,2,,-2.6646,2.6646,,,,0,1,0,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,20.0,0.095,500,500,free_space,0,38.0,0,21234
dstep,20,14,1,672,228.585,31.0,12.4,93.0,21.0,48.08,15.025,4.9,0.18,3.0,0.0,0.0,0.0,0.0,-2.6606,2,,,,,,,0,0,1,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,20.0,0.095,500,500,free_space,0,38.0,0,21234
event_driven,20,84,112,4032,95.96,31.0,12.4,0.0,0.0,0.0,0.0,29.4,20.16,3.0,0.6667,1.0,0.8,1.0,-2.6646,2,,-2.6646,2.6646,,,,91,33,0,8e-05,62.73607000740545,69.68522638587474,231.13875230249047,2.4,0,5,2,4,0.75,20.0,0.095,500,500,free_space,0,100.0,0,21234
dstep,20,12,17,576,232.445,31.0,12.4,93.0,21.0,49.36,15.425,4.2,3.06,3.0,0.0,0.0,0.0,0.0,-2.6606,2,,,,,,,1,10,17,8e-05,62.73607000740545,69.68522638587474,231.13875230249047,2.4,0,5,2,4,0.75,20.0,0.095,500,500,free_space,0,100.0,0,21234
event_driven,20,84,36,4032,82.28,31.0,12.4,0.0,0.0,0.0,0.0,29.4,6.48,3.0,0.6667,1.0,0.8,1.0,-2.6646,2,,-2.6646,2.6646,,,,0,1,0,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,20.0,0.095,500,500,log_normal,0,38.0,0,21234
dstep,20,14,1,672,228.585,31.0,12.4,93.0,21.0,48.08,15.025,4.9,0.18,3.0,0.0,0.0,0.0,0.0,-2.6606,2,,,,,,,0,0,1,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,20.0,0.095,500,500,log_normal,0,38.0,0,21234
event_driven,20,84,98,4032,93.44,31.0,12.4,0.0,0.0,0.0,0.0,29.4,17.64,3.0,0.6667,1.0,0.8,1.0,-2.6646,2,,-2.6646,2.6646,,,,80,58,0,8e-05,62.73607000740545,69.68522638587474,231.13875230249047,2.4,0,5,2,4,0.75,20.0,0.095,500,500,log_normal,0,100.0,0,21234
dstep,20,13,16,624,232.615,31.0,12.4,93.0,21.0,49.36,15.425,4.55,2.88,3.0,1.0,0.125,0.2222,0.0,-2.6606,2,15.2776,14.3306,-14.3306,44.2799,3.7552,0.2509,0,16,16,8e-05,62.73607000740545,69.68522638587474,231.13875230249047,2.4,0,5,2,4,0.75,20.0,0.095,500,500,log_normal,0,100.0,0,21234
event_driven,20,84,34,4032,81.92,31.0,12.4,0.0,0.0,0.0,0.0,29.4,6.12,3.0,0.6667,1.0,0.8,1.0,-2.6646,2,,-2.6646,2.6646,,,,0,3,0,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,20.0,0.095,500,500,rayleigh,0,38.0,0,21234
dstep,20,14,1,672,228.585,31.0,12.4,93.0,21.0,48.08,15.025,4.9,0.18,3.0,0.0,0.0,0.0,0.0,-2.6606,2,,,,,,,0,0,1,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,20.0,0.095,500,500,rayleigh,0,38.0,0,21234
event_driven,20,84,91,4032,92.18,31.0,12.4,0.0,0.0,0.0,0.0,29.4,16.38,3.0,0.6667,1.0,0.8,1.0,-2.6646,2,,-2.6646,2.6646,,,,88,57,0,8e-05,62.73607000740545,69.68522638587474,231.13875230249047,2.4,0,5,2,4,0.75,20.0,0.095,500,500,rayleigh,0,100.0,0,21234
dstep,20,17,20,816,235.26,31.0,12.4,93.0,21.0,49.76,15.55,5.95,3.6,3.0,1.0,0.25,0.4,0.125,-2.6606,2,8.5004,6.1114,-6.1114,43.7011,3.6172,0.4612,4,20,20,8e-05,62.73607000740545,69.68522638587474,231.13875230249047,2.4,0,5,2,4,0.75,20.0,0.095,500,500,rayleigh,0,100.0,0,21234
event_driven,20,84,36,4032,82.28,31.0,12.4,0.0,0.0,0.0,0.0,29.4,6.48,3.0,0.6667,1.0,0.8,1.0,-2.6646,2,,-2.6646,2.6646,,,,0,1,0,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,20.0,0.095,500,500,rician,0,38.0,0,21234
dstep,20,14,1,672,228.585,31.0,12.4,93.0,21.0,48.08,15.025,4.9,0.18,3.0,0.0,0.0,0.0,0.0,-2.6606,2,,,,,,,0,0,1,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,20.0,0.095,500,500,rician,0,38.0,0,21234
event_driven,20,84,91,4032,92.18,31.0,12.4,0.0,0.0,0.0,0.0,29.4,16.38,3.0,0.6667,1.0,0.8,1.0,-2.6646,2,,-2.6646,2.6646,,,,81,64,0,8e-05,62.73607000740545,69.68522638587474,231.13875230249047,2.4,0,5,2,4,0.75,20.0,0.095,500,500,rician,0,100.0,0,21234
dstep,20,14,18,672,233.535,31.0,12.4,93.0,21.0,49.52,15.475,4.9,3.24,3.0,1.0,0.125,0.2222,0.0,-2.6606,2,15.7232,13.1129,-13.1129,,,,2,16,18,8e-05,62.73607000740545,69.68522638587474,231.13875230249047,2.4,0,5,2,4,0.75,20.0,0.095,500,500,rician,0,100.0,0,21234
