policy,nodes,area_width_m,area_height_m,channel_model,tx_power_dbm,neighbor_radius_m,runs,tx_packets_mean,tx_packets_std,energy_mj_mean,energy_mj_std,f1_mean,f1_std,dcr_mean,dcr_std,collisions_mean,collisions_std,channel_losses_mean,channel_losses_std,mean_lead_time_s_mean,mean_lead_time_s_std,mean_degree_mean,mean_degree_std,isolated_nodes_mean,isolated_nodes_std,connected_components_mean,connected_components_std,largest_component_fraction_mean,largest_component_fraction_std,mean_nearest_neighbor_m_mean,mean_nearest_neighbor_m_std,mean_neighbor_distance_m_mean,mean_neighbor_distance_m_std,estimated_sensing_coverage_fraction_mean,estimated_sensing_coverage_fraction_std
dstep,20,500,500,free_space,0,100.0,1,12.0,0.0,232.445,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,,,2.4,0.0,2.0,0.0,4.0,0.0,0.75,0.0,62.73607000740545,0.0,69.68522638587474,0.0,0.095,0.0
event_driven,20,500,500,log_normal,0,38.0,1,84.0,0.0,82.28,0.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.6646,0.0,0.2,0.0,16.0,0.0,18.0,0.0,0.1,0.0,62.73607000740545,0.0,21.75148680653024,0.0,0.095,0.0
dstep,20,500,500,log_normal,0,38.0,1,14.0,0.0,228.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,0.0,16.0,0.0,18.0,0.0,0.1,0.0,62.73607000740545,0.0,21.75148680653024,0.0,0.095,0.0
event_driven,20,500,500,log_normal,0,100.0,1,84.0,0.0,93.44,0.0,0.8,0.0,1.0,0.0,80.0,0.0,58.0,0.0,2.6646,0.0,2.4,0.0,2.0,0.0,4.0,0.0,0.75,0.0,62.73607000740545,0.0,69.68522638587474,0.0,0.095,0.0
dstep,20,500,500,log_normal,0,100.0,1,13.0,0.0,232.615,0.0,0.2222,0.0,0.0,0.0,0.0,0.0,16.0,0.0,-14.3306,0.0,2.4,0.0,2.0,0.0,4.0,0.0,0.75,0.0,62.73607000740545,0.0,69.68522638587474,0.0,0.095,0.0
event_driven,20,500,500,rayleigh,0,38.0,1,84.0,0.0,81.92,0.0,0.8,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.6646,0.0,0.2,0.0,16.0,0.0,18.0,0.0,0.1,0.0,62.73607000740545,0.0,21.75148680653024,0.0,0.095,0.0
dstep,20,500,500,rayleigh,0,38.0,1,14.0,0.0,228.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,0.0,16.0,0.0,18.0,0.0,0.1,0.0,62.73607000740545,0.0,21.75148680653024,0.0,0.095,0.0
event_driven,20,500,500,rayleigh,0,100.0,1,84.0,0.0,92.18,0.0,0.8,0.0,1.0,0.0,88.0,0.0,57.0,0.0,2.6646,0.0,2.4,0.0,2.0,0.0,4.0,0.0,0.75,0.0,62.73607000740545,0.0,69.68522638587474,0.0,0.095,0.0
dstep,20,500,500,rayleigh,0,100.0,1,17.0,0.0,235.26,0.0,0.4,0.0,0.125,0.0,4.0,0.0,20.0,0.0,-6.1114,0.0,2.4,0.0,2.0,0.0,4.0,0.0,0.75,0.0,62.73607000740545,0.0,69.68522638587474,0.0,0.095,0.0
event_driven,20,500,500,rician,0,38.0,1,84.0,0.0,82.28,0.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.6646,0.0,0.2,0.0,16.0,0.0,18.0,0.0,0.1,0.0,62.73607000740545,0.0,21.75148680653024,0.0,0.095,0.0
dstep,20,500,500,rician,0,38.0,1,14.0,0.0,228.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,0.0,16.0,0.0,18.0,0.0,0.1,0.0,62.73607000740545,0.0,21.75148680653024,0.0,0.095,0.0
event_driven,20,500,500,rician,0,100.0,1,84.0,0.0,92.18,0.0,0.8,0.0,1.0,0.0,81.0,0.0,64.0,0.0,2.6646,0.0,2.4,0.0,2.0,0.0,4.0,0.0,0.75,0.0,62.73607000740545,0.0,69.68522638587474,0.0,0.095,0.0
dstep,20,500,500,rician,0,100.0,1,14.0,0.0,233.535,0.0,0.2222,0.0,0.0,0.0,2.0,0.0,16.0,0.0,-13.1129,0.0,2.4,0.0,2.0,0.0,4.0,0.0,0.75,0.0,62.73607000740545,0.0,69.68522638587474,0.0,0.095,0.0
