policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,tx_power_dbm,infer_energy_mj,neighbor_radius_m,run,seed
event_driven,50,868,1227,41664,640.66,77.5,31.0,0.0,0.0,0.0,0.0,303.8,220.86,7.5,1.0,1.0,1.0,1.0,-0.3394,11,,-0.3394,0.3394,,,,17590,55,0,10,0.05,50.0,0,51234
dstep,50,105,533,5040,597.405,77.5,31.0,77.5,52.5,166.64,52.075,36.75,95.94,7.5,1.0,1.0,1.0,1.0,-0.3354,11,0.5846,-1.4925,1.4925,38.9677,4.4305,0.6214,1706,23,533,10,0.05,50.0,0,51234
event_driven,50,855,1060,41040,606.05,77.5,31.0,0.0,0.0,0.0,0.0,299.25,190.8,7.5,1.0,1.0,1.0,1.0,-0.1794,9,,-0.1794,0.1794,,,,5156,16,0,10,0.15,25.0,0,51234
dstep,50,95,257,4560,669.93,77.5,31.0,232.5,52.5,144.32,45.1,33.25,46.26,7.5,1.0,0.94,0.9691,0.96,-0.2954,11,1.0469,0.8081,-0.8081,40.4387,3.553,1.1076,453,3,257,10,0.15,25.0,0,51234
event_driven,50,861,1180,41328,629.75,77.5,31.0,0.0,0.0,0.0,0.0,301.35,212.4,7.5,1.0,1.0,1.0,1.0,-0.2994,13,,-0.2994,0.2994,,,,11238,25,0,10,0.15,38.0,0,51234
dstep,50,107,443,5136,727.455,77.5,31.0,232.5,52.5,159.44,49.825,37.45,79.74,7.5,1.0,1.0,1.0,1.0,-0.7354,15,0.2446,-0.0945,0.0945,41.5256,6.257,0.9636,1079,14,443,10,0.15,38.0,0,51234
event_driven,50,868,1227,41664,640.66,77.5,31.0,0.0,0.0,0.0,0.0,303.8,220.86,7.5,1.0,1.0,1.0,1.0,-0.3394,11,,-0.3394,0.3394,,,,17590,55,0,10,0.15,50.0,0,51234
dstep,50,105,533,5040,752.405,77.5,31.0,232.5,52.5,166.64,52.075,36.75,95.94,7.5,1.0,1.0,1.0,1.0,-0.3354,11,0.5846,-1.4925,1.4925,38.9677,4.4305,0.6214,1706,23,533,10,0.15,50.0,0,51234
event_driven,50,855,1060,41040,606.05,77.5,31.0,0.0,0.0,0.0,0.0,299.25,190.8,7.5,1.0,1.0,1.0,1.0,-0.1794,9,,-0.1794,0.1794,,,,5156,16,0,10,0.3,25.0,0,51234
dstep,50,95,257,4560,902.43,77.5,31.0,465.0,52.5,144.32,45.1,33.25,46.26,7.5,1.0,0.94,0.9691,0.96,-0.2954,11,1.0469,0.8081,-0.8081,40.4387,3.553,1.1076,453,3,257,10,0.3,25.0,0,51234
event_driven,50,861,1180,41328,629.75,77.5,31.0,0.0,0.0,0.0,0.0,301.35,212.4,7.5,1.0,1.0,1.0,1.0,-0.2994,13,,-0.2994,0.2994,,,,11238,25,0,10,0.3,38.0,0,51234
dstep,50,107,443,5136,959.955,77.5,31.0,465.0,52.5,159.44,49.825,37.45,79.74,7.5,1.0,1.0,1.0,1.0,-0.7354,15,0.2446,-0.0945,0.0945,41.5256,6.257,0.9636,1079,14,443,10,0.3,38.0,0,51234
event_driven,50,868,1227,41664,640.66,77.5,31.0,0.0,0.0,0.0,0.0,303.8,220.86,7.5,1.0,1.0,1.0,1.0,-0.3394,11,,-0.3394,0.3394,,,,17590,55,0,10,0.3,50.0,0,51234
dstep,50,105,533,5040,984.905,77.5,31.0,465.0,52.5,166.64,52.075,36.75,95.94,7.5,1.0,1.0,1.0,1.0,-0.3354,11,0.5846,-1.4925,1.4925,38.9677,4.4305,0.6214,1706,23,533,10,0.3,50.0,0,51234
event_driven,100,1706,2148,81888,1215.74,155.0,62.0,0.0,0.0,0.0,0.0,597.1,386.64,15.0,1.0,1.0,1.0,1.0,-0.3093,21,,-0.3093,0.3093,,,,21153,825,0,-10,0.05,25.0,0,101234
dstep,100,194,592,9312,1054.12,155.0,62.0,155.0,105.0,295.36,92.3,67.9,106.56,15.0,1.0,1.0,1.0,1.0,-0.1453,21,0.8547,-0.0531,0.0531,43.8006,3.5839,0.9503,1923,215,592,-10,0.05,25.0,0,101234
event_driven,100,1683,2383,80784,1249.99,155.0,62.0,0.0,0.0,0.0,0.0,589.05,428.94,15.0,1.0,1.0,1.0,1.0,-0.6693,28,,-0.6693,0.6693,,,,42921,1690,0,-10,0.05,38.0,0,101234
dstep,100,209,863,10032,1136.605,155.0,62.0,155.0,105.0,317.04,99.075,73.15,155.34,15.0,1.0,1.0,1.0,1.0,-1.1353,29,0.4347,-2.2919,2.2919,42.5645,5.6202,1.6355,4211,679,863,-10,0.05,38.0,0,101234
event_driven,100,1717,2517,82416,1286.01,155.0,62.0,0.0,0.0,0.0,0.0,600.95,453.06,15.0,1.0,1.0,1.0,1.0,-1.0493,29,,-1.0493,1.0493,,,,70742,2688,0,-10,0.05,50.0,0,101234
dstep,100,205,1153,9840,1217.855,155.0,62.0,155.0,105.0,340.24,106.325,71.75,207.54,15.0,1.0,1.0,1.0,1.0,-1.0053,29,-0.0053,-4.5815,4.5815,42.4612,7.3682,1.2997,6397,1295,1153,-10,0.05,50.0,0,101234
event_driven,100,1706,2148,81888,1215.74,155.0,62.0,0.0,0.0,0.0,0.0,597.1,386.64,15.0,1.0,1.0,1.0,1.0,-0.3093,21,,-0.3093,0.3093,,,,21153,825,0,-10,0.15,25.0,0,101234
dstep,100,194,592,9312,1364.12,155.0,62.0,465.0,105.0,295.36,92.3,67.9,106.56,15.0,1.0,1.0,1.0,1.0,-0.1453,21,0.8547,-0.0531,0.0531,43.8006,3.5839,0.9503,1923,215,592,-10,0.15,25.0,0,101234
event_driven,100,1683,2383,80784,1249.99,155.0,62.0,0.0,0.0,0.0,0.0,589.05,428.94,15.0,1.0,1.0,1.0,1.0,-0.6693,28,,-0.6693,0.6693,,,,42921,1690,0,-10,0.15,38.0,0,101234
dstep,100,209,863,10032,1446.605,155.0,62.0,465.0,105.0,317.04,99.075,73.15,155.34,15.0,1.0,1.0,1.0,1.0,-1.1353,29,0.4347,-2.2919,2.2919,42.5645,5.6202,1.6355,4211,679,863,-10,0.15,38.0,0,101234
event_driven,100,1717,2517,82416,1286.01,155.0,62.0,0.0,0.0,0.0,0.0,600.95,453.06,15.0,1.0,1.0,1.0,1.0,-1.0493,29,,-1.0493,1.0493,,,,70742,2688,0,-10,0.15,50.0,0,101234
dstep,100,205,1153,9840,1527.855,155.0,62.0,465.0,105.0,340.24,106.325,71.75,207.54,15.0,1.0,1.0,1.0,1.0,-1.0053,29,-0.0053,-4.5815,4.5815,42.4612,7.3682,1.2997,6397,1295,1153,-10,0.15,50.0,0,101234
event_driven,100,1706,2148,81888,1215.74,155.0,62.0,0.0,0.0,0.0,0.0,597.1,386.64,15.0,1.0,1.0,1.0,1.0,-0.3093,21,,-0.3093,0.3093,,,,21153,825,0,-10,0.3,25.0,0,101234
dstep,100,194,592,9312,1829.12,155.0,62.0,930.0,105.0,295.36,92.3,67.9,106.56,15.0,1.0,1.0,1.0,1.0,-0.1453,21,0.8547,-0.0531,0.0531,43.8006,3.5839,0.9503,1923,215,592,-10,0.3,25.0,0,101234
event_driven,100,1683,2383,80784,1249.99,155.0,62.0,0.0,0.0,0.0,0.0,589.05,428.94,15.0,1.0,1.0,1.0,1.0,-0.6693,28,,-0.6693,0.6693,,,,42921,1690,0,-10,0.3,38.0,0,101234
dstep,100,209,863,10032,1911.605,155.0,62.0,930.0,105.0,317.04,99.075,73.15,155.34,15.0,1.0,1.0,1.0,1.0,-1.1353,29,0.4347,-2.2919,2.2919,42.5645,5.6202,1.6355,4211,679,863,-10,0.3,38.0,0,101234
event_driven,100,1717,2517,82416,1286.01,155.0,62.0,0.0,0.0,0.0,0.0,600.95,453.06,15.0,1.0,1.0,1.0,1.0,-1.0493,29,,-1.0493,1.0493,,,,70742,2688,0,-10,0.3,50.0,0,101234
dstep,100,205,1153,9840,1992.855,155.0,62.0,930.0,105.0,340.24,106.325,71.75,207.54,15.0,1.0,1.0,1.0,1.0,-1.0053,29,-0.0053,-4.5815,4.5815,42.4612,7.3682,1.2997,6397,1295,1153,-10,0.3,50.0,0,101234
event_driven,100,1727,2289,82896,1248.47,155.0,62.0,0.0,0.0,0.0,0.0,604.45,412.02,15.0,1.0,1.0,1.0,1.0,-0.7493,27,,-0.7493,0.7493,,,,21999,168,0,0,0.05,25.0,0,101234
dstep,100,196,647,9408,1070.495,155.0,62.0,155.0,105.0,299.76,93.675,68.6,116.46,15.0,1.0,1.0,1.0,0.99,-0.3553,27,0.8047,0.0865,-0.0865,45.2056,5.2397,1.0877,2045,51,647,0,0.05,25.0,0,101234
event_driven,100,1713,2471,82224,1276.33,155.0,62.0,0.0,0.0,0.0,0.0,599.55,444.78,15.0,1.0,1.0,1.0,1.0,-0.7193,26,,-0.7193,0.7193,,,,44917,347,0,0,0.05,38.0,0,101234
dstep,100,205,960,9840,1162.85,155.0,62.0,155.0,105.0,324.8,101.5,71.75,172.8,15.0,1.0,1.0,1.0,1.0,-0.8753,35,0.2847,-1.793,1.793,43.4151,5.8449,1.3122,4542,130,960,0,0.05,38.0,0,101234
event_driven,100,1703,2529,81744,1283.27,155.0,62.0,0.0,0.0,0.0,0.0,596.05,455.22,15.0,1.0,1.0,1.0,1.0,-0.1493,20,,-0.1493,0.1493,,,,72755,537,0,0,0.05,50.0,0,101234
dstep,100,203,1151,9744,1216.585,155.0,62.0,155.0,105.0,340.08,106.275,71.05,207.18,15.0,1.0,1.0,1.0,1.0,-0.4353,21,0.4947,-2.5222,2.5222,40.4517,7.3671,1.0973,7395,260,1151,0,0.05,50.0,0,101234
event_driven,100,1727,2289,82896,1248.47,155.0,62.0,0.0,0.0,0.0,0.0,604.45,412.02,15.0,1.0,1.0,1.0,1.0,-0.7493,27,,-0.7493,0.7493,,,,21999,168,0,0,0.15,25.0,0,101234
dstep,100,196,647,9408,1380.495,155.0,62.0,465.0,105.0,299.76,93.675,68.6,116.46,15.0,1.0,1.0,1.0,0.99,-0.3553,27,0.8047,0.0865,-0.0865,45.2056,5.2397,1.0877,2045,51,647,0,0.15,25.0,0,101234
event_driven,100,1713,2471,82224,1276.33,155.0,62.0,0.0,0.0,0.0,0.0,599.55,444.78,15.0,1.0,1.0,1.0,1.0,-0.7193,26,,-0.7193,0.7193,,,,44917,347,0,0,0.15,38.0,0,101234
dstep,100,205,960,9840,1472.85,155.0,62.0,465.0,105.0,324.8,101.5,71.75,172.8,15.0,1.0,1.0,1.0,1.0,-0.8753,35,0.2847,-1.793,1.793,43.4151,5.8449,1.3122,4542,130,960,0,0.15,38.0,0,101234
event_driven,100,1703,2529,81744,1283.27,155.0,62.0,0.0,0.0,0.0,0.0,596.05,455.22,15.0,1.0,1.0,1.0,1.0,-0.1493,20,,-0.1493,0.1493,,,,72755,537,0,0,0.15,50.0,0,101234
dstep,100,203,1151,9744,1526.585,155.0,62.0,465.0,105.0,340.08,106.275,71.05,207.18,15.0,1.0,1.0,1.0,1.0,-0.4353,21,0.4947,-2.5222,2.5222,40.4517,7.3671,1.0973,7395,260,1151,0,0.15,50.0,0,101234
event_driven,100,1727,2289,82896,1248.47,155.0,62.0,0.0,0.0,0.0,0.0,604.45,412.02,15.0,1.0,1.0,1.0,1.0,-0.7493,27,,-0.7493,0.7493,,,,21999,168,0,0,0.3,25.0,0,101234
dstep,100,196,647,9408,1845.495,155.0,62.0,930.0,105.0,299.76,93.675,68.6,116.46,15.0,1.0,1.0,1.0,0.99,-0.3553,27,0.8047,0.0865,-0.0865,45.2056,5.2397,1.0877,2045,51,647,0,0.3,25.0,0,101234
event_driven,100,1713,2471,82224,1276.33,155.0,62.0,0.0,0.0,0.0,0.0,599.55,444.78,15.0,1.0,1.0,1.0,1.0,-0.7193,26,,-0.7193,0.7193,,,,44917,347,0,0,0.3,38.0,0,101234
dstep,100,205,960,9840,1937.85,155.0,62.0,930.0,105.0,324.8,101.5,71.75,172.8,15.0,1.0,1.0,1.0,1.0,-0.8753,35,0.2847,-1.793,1.793,43.4151,5.8449,1.3122,4542,130,960,0,0.3,38.0,0,101234
event_driven,100,1703,2529,81744,1283.27,155.0,62.0,0.0,0.0,0.0,0.0,596.05,455.22,15.0,1.0,1.0,1.0,1.0,-0.1493,20,,-0.1493,0.1493,,,,72755,537,0,0,0.3,50.0,0,101234
dstep,100,203,1151,9744,1991.585,155.0,62.0,930.0,105.0,340.08,106.275,71.05,207.18,15.0,1.0,1.0,1.0,1.0,-0.4353,21,0.4947,-2.5222,2.5222,40.4517,7.3671,1.0973,7395,260,1151,0,0.3,50.0,0,101234
event_driven,100,1705,2295,81840,1241.85,155.0,62.0,0.0,0.0,0.0,0.0,596.75,413.1,15.0,1.0,1.0,1.0,1.0,-0.7093,23,,-0.7093,0.7093,,,,21789,25,0,10,0.05,25.0,0,101234
dstep,100,197,673,9456,1078.255,155.0,62.0,155.0,105.0,301.84,94.325,68.95,121.14,15.0,1.0,1.0,1.0,0.99,-0.2653,20,0.8047,-0.0231,0.0231,45.2065,4.6579,1.1458,2073,7,673,10,0.05,25.0,0,101234
event_driven,100,1716,2525,82368,1287.1,155.0,62.0,0.0,0.0,0.0,0.0,600.6,454.5,15.0,1.0,1.0,1.0,1.0,-1.0993,28,,-1.0993,1.0993,,,,45252,86,0,10,0.05,38.0,0,101234
dstep,100,204,1021,9792,1179.885,155.0,62.0,155.0,105.0,329.68,103.025,71.4,183.78,15.0,1.0,1.0,1.0,1.0,-0.6353,23,0.3047,-2.8125,2.8125,42.9134,4.9428,1.0108,4517,24,1021,10,0.05,38.0,0,101234
event_driven,100,1687,2640,80976,1297.65,155.0,62.0,0.0,0.0,0.0,0.0,590.45,475.2,15.0,1.0,1.0,1.0,0.99,-0.4193,18,,-0.4193,0.4193,,,,72113,119,0,10,0.05,50.0,0,101234
dstep,100,204,1283,9792,1254.555,155.0,62.0,155.0,105.0,350.64,109.575,71.4,230.94,15.0,1.0,1.0,1.0,1.0,-0.5753,29,0.1047,-3.5518,3.5518,43.9653,4.9148,1.0095,7544,55,1283,10,0.05,50.0,0,101234
event_driven,100,1705,2295,81840,1241.85,155.0,62.0,0.0,0.0,0.0,0.0,596.75,413.1,15.0,1.0,1.0,1.0,1.0,-0.7093,23,,-0.7093,0.7093,,,,21789,25,0,10,0.15,25.0,0,101234
dstep,100,197,673,9456,1388.255,155.0,62.0,465.0,105.0,301.84,94.325,68.95,121.14,15.0,1.0,1.0,1.0,0.99,-0.2653,20,0.8047,-0.0231,0.0231,45.2065,4.6579,1.1458,2073,7,673,10,0.15,25.0,0,101234
event_driven,100,1716,2525,82368,1287.1,155.0,62.0,0.0,0.0,0.0,0.0,600.6,454.5,15.0,1.0,1.0,1.0,1.0,-1.0993,28,,-1.0993,1.0993,,,,45252,86,0,10,0.15,38.0,0,101234
dstep,100,204,1021,9792,1489.885,155.0,62.0,465.0,105.0,329.68,103.025,71.4,183.78,15.0,1.0,1.0,1.0,1.0,-0.6353,23,0.3047,-2.8125,2.8125,42.9134,4.9428,1.0108,4517,24,1021,10,0.15,38.0,0,101234
event_driven,100,1687,2640,80976,1297.65,155.0,62.0,0.0,0.0,0.0,0.0,590.45,475.2,15.0,1.0,1.0,1.0,0.99,-0.4193,18,,-0.4193,0.4193,,,,72113,119,0,10,0.15,50.0,0,101234
dstep,100,204,1283,9792,1564.555,155.0,62.0,465.0,105.0,350.64,109.575,71.4,230.94,15.0,1.0,1.0,1.0,1.0,-0.5753,29,0.1047,-3.5518,3.5518,43.9653,4.9148,1.0095,7544,55,1283,10,0.15,50.0,0,101234
event_driven,100,1705,2295,81840,1241.85,155.0,62.0,0.0,0.0,0.0,0.0,596.75,413.1,15.0,1.0,1.0,1.0,1.0,-0.7093,23,,-0.7093,0.7093,,,,21789,25,0,10,0.3,25.0,0,101234
dstep,100,197,673,9456,1853.255,155.0,62.0,930.0,105.0,301.84,94.325,68.95,121.14,15.0,1.0,1.0,1.0,0.99,-0.2653,20,0.8047,-0.0231,0.0231,45.2065,4.6579,1.1458,2073,7,673,10,0.3,25.0,0,101234
event_driven,100,1716,2525,82368,1287.1,155.0,62.0,0.0,0.0,0.0,0.0,600.6,454.5,15.0,1.0,1.0,1.0,1.0,-1.0993,28,,-1.0993,1.0993,,,,45252,86,0,10,0.3,38.0,0,101234
dstep,100,204,1021,9792,1954.885,155.0,62.0,930.0,105.0,329.68,103.025,71.4,183.78,15.0,1.0,1.0,1.0,1.0,-0.6353,23,0.3047,-2.8125,2.8125,42.9134,4.9428,1.0108,4517,24,1021,10,0.3,38.0,0,101234
event_driven,100,1687,2640,80976,1297.65,155.0,62.0,0.0,0.0,0.0,0.0,590.45,475.2,15.0,1.0,1.0,1.0,0.99,-0.4193,18,,-0.4193,0.4193,,,,72113,119,0,10,0.3,50.0,0,101234
dstep,100,204,1283,9792,2029.555,155.0,62.0,930.0,105.0,350.64,109.575,71.4,230.94,15.0,1.0,1.0,1.0,1.0,-0.5753,29,0.1047,-3.5518,3.5518,43.9653,4.9148,1.0095,7544,55,1283,10,0.3,50.0,0,101234
