nodes,tx_power_dbm,infer_energy_mj,neighbor_radius_m,run,seed,event_tx_packets,dstep_tx_packets,tx_reduction_pct,event_energy_mj,dstep_energy_mj,energy_reduction_pct,dstep_f1,dstep_dcr,ai_extra_energy_mj,communication_energy_avoided_mj,delta_e_ai_mj,break_even
50,-10,0.3,50.0,0,51234,858,104,87.87878787878788,622.22,957.48,-53.881263861656635,1.0,1.0,726.24,390.98,335.26,0
50,0,0.05,25.0,0,51234,838,92,89.02147971360381,599.74,512.095,14.613832660819682,0.9899,0.98,318.895,406.54,-87.64500000000004,1
50,0,0.05,38.0,0,51234,873,101,88.43069873997709,634.13,555.535,12.3941463106934,1.0,1.0,333.80499999999995,412.4,-78.59500000000003,1
50,0,0.05,50.0,0,51234,845,105,87.57396449704143,634.41,593.7,6.416985860878599,1.0,0.96,347.35,388.05999999999995,-40.70999999999992,1
50,0,0.15,25.0,0,51234,838,92,89.02147971360381,599.74,667.095,-11.230699969987,0.9899,0.98,473.895,406.54,67.35499999999996,0
50,0,0.15,38.0,0,51234,873,101,88.43069873997709,634.13,710.535,-12.048791257313173,1.0,1.0,488.80499999999995,412.4,76.40499999999997,0
50,0,0.15,50.0,0,51234,845,105,87.57396449704143,634.41,748.7,-18.015163695402038,1.0,0.96,502.35,388.05999999999995,114.29000000000008,0
50,0,0.3,25.0,0,51234,838,92,89.02147971360381,599.74,899.595,-49.997498916197024,0.9899,0.98,706.395,406.54,299.85499999999996,0
50,0,0.3,38.0,0,51234,873,101,88.43069873997709,634.13,943.035,-48.713197609323004,1.0,1.0,721.305,412.4,308.905,0
50,0,0.3,50.0,0,51234,845,105,87.57396449704143,634.41,981.2,-54.663388029823004,1.0,0.96,734.85,388.05999999999995,346.7900000000001,0
50,10,0.05,25.0,0,51234,855,95,88.88888888888889,606.05,514.93,15.035063113604485,0.9691,0.96,319.42,410.54,-91.12,1
50,10,0.05,38.0,0,51234,861,107,87.57259001161441,629.75,572.455,9.098054783644294,1.0,1.0,339.265,396.56,-57.295000000000016,1
50,10,0.05,50.0,0,51234,868,105,87.90322580645162,640.66,597.405,6.751631130396774,1.0,1.0,348.715,391.9700000000001,-43.25500000000011,1
50,10,0.15,25.0,0,51234,855,95,88.88888888888889,606.05,669.93,-10.540384456728003,0.9691,0.96,474.42,410.54,63.879999999999995,0
50,10,0.15,38.0,0,51234,861,107,87.57259001161441,629.75,727.455,-15.51488685986504,1.0,1.0,494.265,396.56,97.70499999999998,0
50,10,0.15,50.0,0,51234,868,105,87.90322580645162,640.66,752.405,-17.442169013205145,1.0,1.0,503.715,391.9700000000001,111.74499999999989,0
50,10,0.3,25.0,0,51234,855,95,88.88888888888889,606.05,902.43,-48.90355581222672,0.9691,0.96,706.92,410.54,296.37999999999994,0
50,10,0.3,38.0,0,51234,861,107,87.57259001161441,629.75,959.955,-52.43429932512902,1.0,1.0,726.7650000000001,396.56,330.2050000000001,0
50,10,0.3,50.0,0,51234,868,105,87.90322580645162,640.66,984.905,-53.732869228608,1.0,1.0,736.215,391.9700000000001,344.24499999999995,0
100,-10,0.05,25.0,0,101234,1706,194,88.62837045720985,1215.74,1054.12,13.293960879793387,1.0,1.0,647.66,809.28,-161.62,1
100,-10,0.05,38.0,0,101234,1683,209,87.58169934640523,1249.99,1136.605,9.070872566980537,1.0,1.0,676.115,789.5,-113.38499999999999,1
100,-10,0.05,50.0,0,101234,1717,205,88.06057076295865,1286.01,1217.855,5.299725507577701,1.0,1.0,706.565,774.72,-68.15499999999997,1
100,-10,0.15,25.0,0,101234,1706,194,88.62837045720985,1215.74,1364.12,-12.204912234523825,1.0,1.0,957.66,809.28,148.38,0
100,-10,0.15,38.0,0,101234,1683,209,87.58169934640523,1249.99,1446.605,-15.729325834606666,1.0,1.0,986.115,789.5,196.615,0
100,-10,0.15,50.0,0,101234,1717,205,88.06057076295865,1286.01,1527.855,-18.80584132316234,1.0,1.0,1016.565,774.72,241.84500000000003,0
100,-10,0.3,25.0,0,101234,1706,194,88.62837045720985,1215.74,1829.12,-50.453221905999634,1.0,1.0,1422.66,809.28,613.3800000000001,0
100,-10,0.3,38.0,0,101234,1683,209,87.58169934640523,1249.99,1911.605,-52.929623436987505,1.0,1.0,1451.115,789.5,661.615,0
100,-10,0.3,50.0,0,101234,1717,205,88.06057076295865,1286.01,1992.855,-54.964191569272415,1.0,1.0,1481.565,774.72,706.845,0
100,0,0.05,25.0,0,101234,1727,196,88.65083960625361,1248.47,1070.495,14.255448669171077,1.0,0.99,653.435,831.4100000000001,-177.97500000000014,1
100,0,0.05,38.0,0,101234,1713,205,88.03269118505546,1276.33,1162.85,8.891117500959789,1.0,1.0,686.3,799.78,-113.48000000000002,1
100,0,0.05,50.0,0,101234,1703,203,88.07985907222549,1283.27,1216.585,5.196490216400285,1.0,1.0,706.3549999999999,773.04,-66.68500000000006,1
100,0,0.15,25.0,0,101234,1727,196,88.65083960625361,1248.47,1380.495,-10.574943731126885,1.0,0.99,963.435,831.4100000000001,132.02499999999986,0
100,0,0.15,38.0,0,101234,1713,205,88.03269118505546,1276.33,1472.85,-15.397271865426653,1.0,1.0,996.3,799.78,196.51999999999998,0
100,0,0.15,50.0,0,101234,1703,203,88.07985907222549,1283.27,1526.585,-18.960546104872723,1.0,1.0,1016.3549999999999,773.04,243.31499999999994,0
100,0,0.3,25.0,0,101234,1727,196,88.65083960625361,1248.47,1845.495,-47.82053233157384,1.0,0.99,1428.435,831.4100000000001,597.0249999999999,0
100,0,0.3,38.0,0,101234,1713,205,88.03269118505546,1276.33,1937.85,-51.829855915006306,1.0,1.0,1461.3,799.78,661.52,0
