policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,area_width_m,area_height_m,channel_model,receiver_sensitivity_dbm,initial_tx_power_dbm,controller,run,seed
dstep,20,39,190,1872,293.3,31.0,12.4,93.0,21.0,64.8,20.25,13.65,34.2,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,31.0219,10.3389,1.2062,488,30,33,190,fixed,0.0,0.0,0.0,0.0,0,0,0,-76.2968,0.1737,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,9.750435740306989,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,rician,-85,0,fixed,0,21234
dstep,20,39,193,1872,294.155,31.0,12.4,93.0,21.0,65.04,20.325,13.65,34.74,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4219,2.4219,28.1964,10.1175,1.1559,498,23,27,193,rule_based_adaptive,9.5,0.0,10.0,4.8718,19,19,0,-68.7533,0.2026,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,18.75126168681126,4.634938218764802,51.14912268033292,20.0,0.848125,100,100,rician,-85,0,rule_based_adaptive,0,21234
dstep,20,39,190,1872,293.3,31.0,12.4,93.0,21.0,64.8,20.25,13.65,34.2,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,31.0219,10.3389,1.2062,488,30,33,190,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-86.2968,0.1737,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,9.750435740306989,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,rician,-95,-10,fixed,0,21234
dstep,20,39,193,1872,294.155,31.0,12.4,93.0,21.0,65.04,20.325,13.65,34.74,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4219,2.4219,28.1964,10.1175,1.1559,498,23,27,193,rule_based_adaptive,-0.5,-10.0,0.0,-5.1282,19,19,0,-78.7533,0.2026,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,18.75126168681126,4.634938218764802,51.14912268033292,20.0,0.848125,100,100,rician,-95,-10,rule_based_adaptive,0,21234
dstep,20,40,197,1920,295.645,31.0,12.4,93.0,21.0,65.36,20.425,14.0,35.46,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4719,2.4719,31.3141,11.6841,1.1978,561,1,1,197,fixed,0.0,0.0,0.0,0.0,0,0,0,-76.3418,0.1605,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,100,100,rician,-95,0,fixed,0,21234
dstep,20,40,197,1920,295.645,31.0,12.4,93.0,21.0,65.36,20.425,14.0,35.46,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.2721,2.2721,31.0139,11.5857,1.1899,553,1,9,197,rule_based_adaptive,3.5,-10.0,10.0,1.4634,21,14,7,-73.3829,0.1526,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,20.75126168681126,0.3069402660189553,44.10613423387033,20.0,0.848125,100,100,rician,-95,0,rule_based_adaptive,0,21234
dstep,20,33,4,1584,236.195,31.0,12.4,93.0,21.0,48.4,15.125,11.55,0.72,3.0,1.0,0.05,0.0952,0.0,-1.4755,4,8.8619,8.9087,-8.9087,,,,0,0,623,4,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-100.8984,0.0111,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,8.263763502792742,0.7557444206449588,15.771782584940524,20.0,0.095,500,500,log_normal,-85,-10,fixed,0,21234
dstep,20,30,38,1440,244.835,31.0,12.4,93.0,21.0,51.12,15.975,10.5,6.84,3.0,1.0,0.05,0.0952,0.0,-1.4755,4,8.8619,8.9087,-8.9087,,,,0,10,522,38,rule_based_adaptive,0.5,-10.0,10.0,-4.1463,21,21,0,-95.8979,0.076,8e-05,62.73607000740545,115.89126775430577,231.13875230249047,4.55,0,18,2,2,0.85,5.520867301900881,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,log_normal,-85,-10,rule_based_adaptive,0,21234
dstep,20,30,57,1440,251.195,31.0,12.4,93.0,21.0,53.36,16.675,10.5,10.26,3.0,1.0,0.5,0.6667,0.55,-1.4755,4,2.9005,2.1051,-2.1051,168.2278,18.1072,2.5138,18,23,472,57,fixed,0.0,0.0,0.0,0.0,0,0,0,-90.5607,0.0906,8e-05,62.73607000740545,77.36308822834867,231.13875230249047,3.0,0,6,1,3,0.8,4.244328483977664,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,log_normal,-85,0,fixed,0,21234
dstep,20,34,153,1632,280.9,31.0,12.4,93.0,21.0,61.76,19.3,11.9,27.54,3.0,1.0,0.95,0.9744,0.5,-1.4755,4,6.1126,2.6781,-2.6781,240.2602,7.6824,4.7932,71,42,380,153,rule_based_adaptive,11.5,10.0,20.0,6.0465,23,23,0,-85.0272,0.2421,8e-05,62.73607000740545,191.5966920473741,231.13875230249047,15.5,5,19,0,1,1.0,6.402862926793689,0.04456414751849991,35.771782584940524,20.0,0.095,500,500,log_normal,-85,0,rule_based_adaptive,0,21234
