policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,area_width_m,area_height_m,channel_model,tx_power_dbm,receiver_sensitivity_dbm,nominal_effective_range_m,run,seed,connectivity_ok,quality_ok,operational_ok
dstep,20,33,4,1584,236.195,31.0,12.4,93.0,21.0,48.4,15.125,11.55,0.72,3.0,1.0,0.05,0.0952,0.0,-1.4755,4,8.8619,8.9087,-8.9087,,,,0,0,623,4,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,8.263763502792742,0.7557444206449588,15.771782584940524,20.0,0.095,500,500,log_normal,-10,-85,38.98603702549076,0,21234,0,0,0
dstep,20,30,57,1440,251.195,31.0,12.4,93.0,21.0,53.36,16.675,10.5,10.26,3.0,1.0,0.5,0.6667,0.55,-1.4755,4,2.9005,2.1051,-2.1051,168.2278,18.1072,2.5138,18,23,472,57,8e-05,62.73607000740545,77.36308822834867,231.13875230249047,3.0,0,6,1,3,0.8,4.244328483977664,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,log_normal,0,-85,111.03363181676396,0,21234,0,0,0
dstep,20,33,182,1584,288.92,31.0,12.4,93.0,21.0,64.16,20.05,11.55,32.76,3.0,1.0,1.0,1.0,1.0,-1.4755,4,0.7745,-2.2217,2.2217,182.4505,6.9448,1.6253,267,36,142,182,8e-05,62.73607000740545,190.07715537253296,231.13875230249047,14.8,5,18,0,1,1.0,5.990931308693672,0.04456414751849991,35.771782584940524,20.0,0.095,500,500,log_normal,10,-85,316.2277660168384,0,21234,1,1,1
dstep,20,30,57,1440,251.195,31.0,12.4,93.0,21.0,53.36,16.675,10.5,10.26,3.0,1.0,0.5,0.6667,0.55,-1.4755,4,2.9005,2.1051,-2.1051,168.2278,18.1072,2.5138,18,23,472,57,8e-05,62.73607000740545,77.36308822834867,231.13875230249047,3.0,0,6,1,3,0.8,4.244328483977664,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,log_normal,-10,-95,111.03363181676396,0,21234,0,0,0
dstep,20,33,182,1584,288.92,31.0,12.4,93.0,21.0,64.16,20.05,11.55,32.76,3.0,1.0,1.0,1.0,1.0,-1.4755,4,0.7745,-2.2217,2.2217,182.4505,6.9448,1.6253,267,36,142,182,8e-05,62.73607000740545,190.07715537253296,231.13875230249047,14.8,5,18,0,1,1.0,5.990931308693672,0.04456414751849991,35.771782584940524,20.0,0.095,500,500,log_normal,0,-95,316.2277660168384,0,21234,1,1,1
dstep,20,33,216,1584,298.61,31.0,12.4,93.0,21.0,66.88,20.9,11.55,38.88,3.0,1.0,1.0,1.0,1.0,-1.4755,4,0.7745,-2.5217,2.5217,166.5742,6.4095,1.0495,403,8,0,216,8e-05,62.73607000740545,231.13875230249047,231.13875230249047,19.0,19,19,0,1,1.0,14.321290012471476,4.5300254807259535,45.771782584940524,20.0,0.095,500,500,log_normal,10,-95,900.628020211279,0,21234,1,1,1
dstep,20,32,3,1536,235.455,31.0,12.4,93.0,21.0,48.24,15.075,11.2,0.54,3.0,0.0,0.0,0.0,0.0,-1.4755,4,,,,,,,0,0,605,3,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,8.263763502792742,0.7557444206449588,15.771782584940524,20.0,0.095,500,500,rician,-10,-85,38.98603702549076,0,21234,0,0,0
dstep,20,31,51,1488,249.94,31.0,12.4,93.0,21.0,52.96,16.55,10.85,9.18,3.0,1.0,0.55,0.7097,0.6,-1.4755,4,2.2705,0.9714,-0.9714,137.2019,14.5486,2.6249,15,17,506,51,8e-05,62.73607000740545,77.36308822834867,231.13875230249047,3.0,0,6,1,3,0.8,4.244328483977664,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,rician,0,-85,111.03363181676396,0,21234,0,0,0
dstep,20,32,174,1536,286.29,31.0,12.4,93.0,21.0,63.52,19.85,11.2,31.32,3.0,1.0,1.0,1.0,1.0,-1.4755,4,0.8245,-2.3217,2.3217,174.7201,7.2637,1.624,219,41,174,174,8e-05,62.73607000740545,190.07715537253296,231.13875230249047,14.8,5,18,0,1,1.0,5.990931308693672,0.04456414751849991,35.771782584940524,20.0,0.095,500,500,rician,10,-85,316.2277660168384,0,21234,1,1,1
dstep,20,31,51,1488,249.94,31.0,12.4,93.0,21.0,52.96,16.55,10.85,9.18,3.0,1.0,0.55,0.7097,0.6,-1.4755,4,2.2705,0.9714,-0.9714,137.2019,14.5486,2.6249,15,17,506,51,8e-05,62.73607000740545,77.36308822834867,231.13875230249047,3.0,0,6,1,3,0.8,4.244328483977664,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,rician,-10,-95,111.03363181676396,0,21234,0,0,0
dstep,20,32,174,1536,286.29,31.0,12.4,93.0,21.0,63.52,19.85,11.2,31.32,3.0,1.0,1.0,1.0,1.0,-1.4755,4,0.8245,-2.3217,2.3217,174.7201,7.2637,1.624,219,41,174,174,8e-05,62.73607000740545,190.07715537253296,231.13875230249047,14.8,5,18,0,1,1.0,5.990931308693672,0.04456414751849991,35.771782584940524,20.0,0.095,500,500,rician,0,-95,316.2277660168384,0,21234,1,1,1
dstep,20,32,212,1536,297.12,31.0,12.4,93.0,21.0,66.56,20.8,11.2,38.16,3.0,1.0,1.0,1.0,1.0,-1.4755,4,0.7745,-2.5217,2.5217,170.0296,6.3844,1.0892,383,8,5,212,8e-05,62.73607000740545,231.13875230249047,231.13875230249047,19.0,19,19,0,1,1.0,14.321290012471476,4.5300254807259535,45.771782584940524,20.0,0.095,500,500,rician,10,-95,900.628020211279,0,21234,1,1,1
