policy,nodes,tx_packets,rx_packets,bytes_tx,link_delivery_attempts,link_delivery_successes,link_delivery_failures,link_pdr,collision_loss_rate,channel_loss_rate,sensitivity_loss_rate,out_of_range_loss_rate,energy_mj,energy_payoff_mj,payoff_decisions,payoff_compute_accepted,payoff_compute_rejected,payoff_transmit_accepted,payoff_transmit_rejected,payoff_optional_compute_skipped,payoff_estimated_tx_energy_saved_mj,payoff_reliability_overrides,energy_per_node_mean_mj,energy_per_node_std_mj,energy_cv,energy_jain_fairness,battery_residual_jain_fairness,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,battery_mode,battery_capacity_mah,battery_voltage_v,battery_initial_energy_mj_per_node,battery_alive_nodes,battery_dead_nodes,battery_mean_remaining_pct,battery_fnd_time_s,battery_hnd_time_s,battery_lnd_time_s,battery_mean_estimated_lifetime_s,battery_min_estimated_lifetime_s,battery_max_estimated_lifetime_s,precision,recall,f1,confirmation_precision,confirmation_recall,confirmation_f1,awareness_recall,false_confirmation_rate,false_awareness_rate,network_false_alarm,event_level_confirmed,event_level_alerted,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,mac_mode,mac_cca_busy,mac_backoff_events,mac_access_drops,mac_queue_enabled,mac_queue_capacity,mac_queue_enqueued,mac_queue_drops,mac_max_queue_depth,mean_mac_queue_delay_s,max_mac_queue_delay_s,mean_mac_service_time_s,max_mac_service_time_s,mac_reliability_enabled,mac_max_retries,mac_retry_tx_frames,mac_retries_scheduled,mac_retry_exhausted,mac_ack_timeouts,mac_ack_tx_frames,mac_ack_rx_frames,mac_ack_losses,mac_ack_collisions,mac_ack_channel_losses,mac_ack_below_sensitivity,mac_duplicate_data_rx,mac_retry_tx_energy_mj,mac_ack_energy_mj,mac_unicast_frames_started,mac_unicast_frames_success,mac_unicast_frames_failed,mac_unicast_queue_drops,mac_unicast_delivery_ratio,mac_unicast_confirmed_delivery_ratio,mac_unicast_data_frames_received,mac_unicast_data_delivery_ratio,mac_reliable_frames_started,mac_reliable_frames_success,mac_reliable_frames_failed,mac_reliable_queue_drops,mac_reliable_delivery_ratio,mac_reliable_data_frames_received,mac_reliable_data_delivery_ratio,mac_pending_requests,physical_link_pdr_per_attempt,physical_tx_frames,interfered_receptions,mean_sinr_db,min_sinr_db,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,communication_architecture,routing_packets,routing_sink_data_arrivals,routing_delivered,routing_no_route,routing_hops_attempted,routing_hops_successful,routing_hops_failed,mean_route_hops_delivered,event_model,run,seed
periodic,20,600,1096,28800,11400,1096,10304,0.0961,0.5614,0.3425,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8136,5,,-0.8136,0.8136,,,,6400,3904,0,0,csma_ca_lite,34,34,0,True,16,600,0,0,0.0,0.0,0.021674,0.083985,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0961,600,6726,-10.2337,-59.5187,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.7177,0.45,353,331,350,240,3,distributed,0,0,0,0,0,0,0,,deterministic,8,6020008
event_driven,20,338,614,16224,6422,614,5808,0.0956,0.5684,0.336,0.0,0.0,1539.657,0.0,0,0,0,0,0,0,0.0,0,76.9828,2.2084,0.0287,0.9992,,31.0,12.4,0.0,0.0,0.0,0.0,337.297,1155.96,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8136,5,,-0.8136,0.8136,,,,3650,2158,0,0,csma_ca_lite,13,13,0,True,16,338,0,0,0.0,0.0,0.016475,0.082802,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0956,338,3838,-8.5696,-55.4506,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.9787,0.375,201,190,199,130,2,distributed,0,0,0,0,0,0,0,,deterministic,8,6020008
send_on_delta,20,153,302,7344,2907,302,2605,0.1039,0.5607,0.3354,0.0,0.0,722.3418,0.0,0,0,0,0,0,0,0.0,0,36.1171,1.4694,0.0407,0.9983,,31.0,12.4,0.0,0.0,0.0,0.0,152.6818,523.26,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8136,5,,-0.8136,0.8136,,,,1630,975,0,0,csma_ca_lite,3,3,0,True,16,153,0,0,0.0,0.0,0.009602,0.049308,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1039,153,1729,-5.981,-57.3151,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.0575,0.3625,89,85,89,61,0,distributed,0,0,0,0,0,0,0,,deterministic,8,6020008
teen_like,20,185,366,8880,3515,366,3149,0.1041,0.5656,0.3303,0.0,0.0,863.7152,0.0,0,0,0,0,0,0,0.0,0,43.1858,2.326,0.0539,0.9971,,31.0,12.4,0.0,0.0,0.0,0.0,184.6152,632.7,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8136,5,,-0.8136,0.8136,,,,1988,1161,0,0,csma_ca_lite,4,4,0,True,16,185,0,0,0.0,0.0,0.010732,0.062259,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1041,185,2109,-6.2546,-53.2253,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.3162,0.3625,110,103,110,72,0,distributed,0,0,0,0,0,0,0,,deterministic,8,6020008
distributed_edge,20,338,614,16224,6422,614,5808,0.0956,0.5684,0.336,0.0,0.0,1632.657,0.0,0,0,0,0,0,0,0.0,0,81.6328,2.2084,0.0271,0.9993,,31.0,12.4,93.0,0.0,0.0,0.0,337.297,1155.96,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8096,5,,-0.8096,0.8096,,,,3650,2158,0,0,csma_ca_lite,13,13,0,True,16,338,0,0,0.0,0.0,0.016475,0.082802,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0956,338,3838,-8.5696,-55.4506,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.9787,0.375,201,190,199,130,2,distributed,0,0,0,0,0,0,0,,deterministic,8,6020008
voi_baseline,20,120,241,5760,2280,241,2039,0.1057,0.5237,0.3706,0.0,0.0,669.5504,0.0,0,0,0,0,0,0,0.0,0,33.4775,1.9867,0.0593,0.9965,,31.0,12.4,93.0,0.0,0.0,0.0,119.7504,410.4,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8096,5,,-0.8096,0.8096,,,,1194,845,0,0,csma_ca_lite,4,4,0,True,16,120,0,0,0.0,0.0,0.008602,0.037051,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1057,120,1254,-3.9154,-55.0862,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.372,0.375,65,64,65,51,0,distributed,0,0,0,0,0,0,0,,deterministic,8,6020008
dstep,20,35,75,1680,665,75,590,0.1128,0.4,0.4872,0.0,0.0,387.2672,0.0,0,0,0,0,0,0,0.0,0,19.3634,0.8363,0.0432,0.9981,,31.0,12.4,93.0,21.0,55.04,17.2,34.9272,119.7,3.0,ideal,,,,20,0,,,,,,,,1.0,0.65,0.7879,1.0,0.65,0.7879,0.7,0.0,0.0,0,1,1,0.6,-0.8096,5,2.382,1.4888,-1.4888,44.6576,4.4768,2.7485,266,324,0,75,csma_ca_lite,3,3,0,True,16,35,0,1,6.2e-05,0.000728,0.003428,0.017382,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1128,35,285,-2.593,-48.9806,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-90.0243,0.3816,14,14,14,19,0,distributed,0,0,0,0,0,0,0,,deterministic,8,6020008
dstep_payoff,20,43,87,2064,817,87,730,0.1065,0.5031,0.3905,0.0,0.0,364.1156,8.18,818,53,634,92,39,634,38.9189,47,18.2058,0.567,0.0311,0.999,,31.0,12.4,93.0,21.0,4.24,1.325,42.9106,147.06,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8094,5,1.2906,0.149,-0.149,36.4045,4.3926,1.4502,411,319,0,88,csma_ca_lite,2,2,0,True,16,43,0,1,0.000413,0.01244,0.005356,0.017581,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1065,43,437,-2.9938,-46.554,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.2479,0.525,22,21,22,21,0,distributed,0,0,0,0,0,0,0,,deterministic,8,6020008
periodic,20,600,1358,28800,11400,1358,10042,0.1191,0.5548,0.3261,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.1645,4,,-0.1645,0.1645,,,,6325,3717,0,0,csma_ca_lite,27,27,0,True,16,600,0,0,0.0,0.0,0.021792,0.083581,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1191,600,6593,-9.4901,-58.6094,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.696,0.3375,343,323,340,223,3,distributed,0,0,0,0,0,0,0,,deterministic,9,6020009
event_driven,20,351,887,16848,6669,887,5782,0.133,0.5461,0.3209,0.0,0.0,1597.0899,0.0,0,0,0,0,0,0,0.0,0,79.8545,2.3347,0.0292,0.9991,,31.0,12.4,0.0,0.0,0.0,0.0,350.2699,1200.42,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.1645,4,,-0.1645,0.1645,,,,3642,2140,0,0,csma_ca_lite,26,26,0,True,16,351,0,0,0.0,0.0,0.015115,0.082324,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.133,351,3838,-7.1904,-57.5187,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.8395,0.3875,200,185,199,132,1,distributed,0,0,0,0,0,0,0,,deterministic,9,6020009
