policy,nodes,tx_packets,rx_packets,bytes_tx,link_delivery_attempts,link_delivery_successes,link_delivery_failures,link_pdr,collision_loss_rate,channel_loss_rate,sensitivity_loss_rate,out_of_range_loss_rate,energy_mj,energy_payoff_mj,payoff_decisions,payoff_compute_accepted,payoff_compute_rejected,payoff_transmit_accepted,payoff_transmit_rejected,payoff_optional_compute_skipped,payoff_estimated_tx_energy_saved_mj,payoff_reliability_overrides,energy_per_node_mean_mj,energy_per_node_std_mj,energy_cv,energy_jain_fairness,battery_residual_jain_fairness,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,battery_mode,battery_capacity_mah,battery_voltage_v,battery_initial_energy_mj_per_node,battery_alive_nodes,battery_dead_nodes,battery_mean_remaining_pct,battery_fnd_time_s,battery_hnd_time_s,battery_lnd_time_s,battery_mean_estimated_lifetime_s,battery_min_estimated_lifetime_s,battery_max_estimated_lifetime_s,precision,recall,f1,confirmation_precision,confirmation_recall,confirmation_f1,awareness_recall,false_confirmation_rate,false_awareness_rate,network_false_alarm,event_level_confirmed,event_level_alerted,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,mac_mode,mac_cca_busy,mac_backoff_events,mac_access_drops,mac_queue_enabled,mac_queue_capacity,mac_queue_enqueued,mac_queue_drops,mac_max_queue_depth,mean_mac_queue_delay_s,max_mac_queue_delay_s,mean_mac_service_time_s,max_mac_service_time_s,mac_reliability_enabled,mac_max_retries,mac_retry_tx_frames,mac_retries_scheduled,mac_retry_exhausted,mac_ack_timeouts,mac_ack_tx_frames,mac_ack_rx_frames,mac_ack_losses,mac_ack_collisions,mac_ack_channel_losses,mac_ack_below_sensitivity,mac_duplicate_data_rx,mac_retry_tx_energy_mj,mac_ack_energy_mj,mac_unicast_frames_started,mac_unicast_frames_success,mac_unicast_frames_failed,mac_unicast_queue_drops,mac_unicast_delivery_ratio,mac_unicast_confirmed_delivery_ratio,mac_unicast_data_frames_received,mac_unicast_data_delivery_ratio,mac_reliable_frames_started,mac_reliable_frames_success,mac_reliable_frames_failed,mac_reliable_queue_drops,mac_reliable_delivery_ratio,mac_reliable_data_frames_received,mac_reliable_data_delivery_ratio,mac_pending_requests,physical_link_pdr_per_attempt,physical_tx_frames,interfered_receptions,mean_sinr_db,min_sinr_db,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,communication_architecture,routing_packets,routing_sink_data_arrivals,routing_delivered,routing_no_route,routing_hops_attempted,routing_hops_successful,routing_hops_failed,mean_route_hops_delivered,event_model,run,seed
periodic,20,600,1420,28800,11400,1420,9980,0.1246,0.5481,0.3274,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5048,3,,-0.5048,0.5048,,,,6248,3732,0,0,csma_ca_lite,51,51,0,True,16,600,0,0,0.0,0.0,0.019041,0.084054,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1246,600,6593,-9.4095,-56.8109,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.5726,0.575,340,317,340,230,0,distributed,0,0,0,0,0,0,0,,deterministic,16,6020016
event_driven,20,324,736,15552,6156,736,5420,0.1196,0.5686,0.3119,0.0,0.0,1477.8061,0.0,0,0,0,0,0,0,0.0,0,73.8903,1.9459,0.0263,0.9993,,31.0,12.4,0.0,0.0,0.0,0.0,323.3261,1108.08,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5048,3,,-0.5048,0.5048,,,,3500,1920,0,0,csma_ca_lite,18,18,0,True,16,324,0,0,0.0,0.0,0.014369,0.083862,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1196,324,3686,-7.9869,-55.4192,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.2443,0.3,190,183,190,119,0,distributed,0,0,0,0,0,0,0,,deterministic,16,6020016
send_on_delta,20,147,384,7056,2793,384,2409,0.1375,0.5442,0.3183,0.0,0.0,695.8342,0.0,0,0,0,0,0,0,0.0,0,34.7917,1.9403,0.0558,0.9969,,31.0,12.4,0.0,0.0,0.0,0.0,146.6942,502.74,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5048,3,,-0.5048,0.5048,,,,1520,889,0,0,csma_ca_lite,4,4,0,True,16,147,0,0,0.0,0.0,0.008635,0.029073,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1375,147,1653,-4.9612,-52.7627,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.4979,0.5375,83,74,83,53,0,distributed,0,0,0,0,0,0,0,,deterministic,16,6020016
teen_like,20,175,450,8400,3325,450,2875,0.1353,0.545,0.3197,0.0,0.0,819.536,0.0,0,0,0,0,0,0,0.0,0,40.9768,2.0993,0.0512,0.9974,,31.0,12.4,0.0,0.0,0.0,0.0,174.636,598.5,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5048,3,,-0.5048,0.5048,,,,1812,1063,0,0,csma_ca_lite,11,11,0,True,16,175,0,0,0.0,0.0,0.00973,0.048399,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1353,175,1957,-5.7629,-54.2922,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.9016,0.4375,96,90,96,64,0,distributed,0,0,0,0,0,0,0,,deterministic,16,6020016
distributed_edge,20,324,736,15552,6156,736,5420,0.1196,0.5686,0.3119,0.0,0.0,1570.8061,0.0,0,0,0,0,0,0,0.0,0,78.5403,1.9459,0.0248,0.9994,,31.0,12.4,93.0,0.0,0.0,0.0,323.3261,1108.08,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5008,3,,-0.5008,0.5008,,,,3500,1920,0,0,csma_ca_lite,18,18,0,True,16,324,0,0,0.0,0.0,0.014369,0.083862,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1196,324,3686,-7.9869,-55.4192,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.2443,0.3,190,183,190,119,0,distributed,0,0,0,0,0,0,0,,deterministic,16,6020016
voi_baseline,20,107,296,5136,2033,296,1737,0.1456,0.5052,0.3492,0.0,0.0,612.1174,0.0,0,0,0,0,0,0,0.0,0,30.6059,2.0247,0.0662,0.9956,,31.0,12.4,93.0,0.0,0.0,0.0,106.7774,365.94,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5008,3,,-0.5008,0.5008,,,,1027,710,0,0,csma_ca_lite,7,7,0,True,16,107,0,0,0.0,0.0,0.00701,0.028041,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1456,107,1140,-3.9236,-54.5302,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.7285,0.4375,56,46,56,41,0,distributed,0,0,0,0,0,0,0,,deterministic,16,6020016
dstep,20,36,85,1728,684,85,599,0.1243,0.5249,0.3509,0.0,0.0,392.9451,0.0,0,0,0,0,0,0,0.0,0,19.6473,0.621,0.0316,0.999,,31.0,12.4,93.0,21.0,56.0,17.5,35.9251,123.12,3.0,ideal,,,,20,0,,,,,,,,1.0,0.75,0.8571,1.0,0.75,0.8571,0.9,0.0,0.0,0,1,1,0.75,-0.5008,3,2.2047,0.8382,-0.8382,47.8694,4.6962,2.5401,359,240,0,85,csma_ca_lite,2,2,0,True,16,36,0,1,0.000215,0.002648,0.00457,0.017247,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1243,36,380,-4.0311,-45.2912,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.3341,0.475,20,18,20,13,0,distributed,0,0,0,0,0,0,0,,deterministic,16,6020016
dstep_payoff,20,42,117,2016,798,117,681,0.1466,0.4862,0.3672,0.0,0.0,362.7026,8.77,877,76,641,125,35,641,34.9272,56,18.1351,0.404,0.0223,0.9995,,31.0,12.4,93.0,21.0,6.08,1.9,41.9126,143.64,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5006,3,1.3994,-0.1917,0.1917,41.7732,5.5505,1.9482,388,293,0,118,csma_ca_lite,2,2,0,True,16,42,0,1,0.000286,0.006168,0.006258,0.024349,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1466,42,418,-3.1893,-58.3271,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.3822,0.6125,22,20,22,17,0,distributed,0,0,0,0,0,0,0,,deterministic,16,6020016
periodic,20,600,1184,28800,11400,1184,10216,0.1039,0.5475,0.3486,0.0,0.0,2695.073,0.0,0,0,0,0,0,0,0.0,0,134.7537,0.3187,0.0024,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,596.673,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.9301,5,,-0.9301,0.9301,,,,6242,3974,0,0,csma_ca_lite,62,62,0,True,16,600,0,0,0.0,0.0,0.019035,0.08385,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1039,600,6555,-9.4959,-59.023,channel_aware_adaptive,20.0,20.0,20.0,19.1667,4,2,2,-88.9743,0.475,341,316,340,228,1,distributed,0,0,0,0,0,0,0,,deterministic,17,6020017
event_driven,20,370,783,17760,7030,783,6247,0.1114,0.5495,0.3391,0.0,0.0,1680.6146,0.0,0,0,0,0,0,0,0.0,0,84.0307,2.034,0.0242,0.9994,,31.0,12.4,0.0,0.0,0.0,0.0,368.8146,1265.4,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.9301,5,,-0.9301,0.9301,,,,3863,2384,0,0,csma_ca_lite,37,37,0,True,16,370,0,0,0.0,0.0,0.01669,0.08273,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1114,370,4066,-8.2637,-56.5201,channel_aware_adaptive,19.5,10.0,20.0,19.5238,1,0,1,-89.6998,0.425,209,200,209,134,0,distributed,0,0,0,0,0,0,0,,deterministic,17,6020017
