policy,nodes,tx_packets,rx_packets,bytes_tx,link_delivery_attempts,link_delivery_successes,link_delivery_failures,link_pdr,collision_loss_rate,channel_loss_rate,sensitivity_loss_rate,out_of_range_loss_rate,energy_mj,energy_payoff_mj,payoff_decisions,payoff_compute_accepted,payoff_compute_rejected,payoff_transmit_accepted,payoff_transmit_rejected,payoff_optional_compute_skipped,payoff_estimated_tx_energy_saved_mj,payoff_reliability_overrides,energy_per_node_mean_mj,energy_per_node_std_mj,energy_cv,energy_jain_fairness,battery_residual_jain_fairness,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,battery_mode,battery_capacity_mah,battery_voltage_v,battery_initial_energy_mj_per_node,battery_alive_nodes,battery_dead_nodes,battery_mean_remaining_pct,battery_fnd_time_s,battery_hnd_time_s,battery_lnd_time_s,battery_mean_estimated_lifetime_s,battery_min_estimated_lifetime_s,battery_max_estimated_lifetime_s,precision,recall,f1,confirmation_precision,confirmation_recall,confirmation_f1,awareness_recall,false_confirmation_rate,false_awareness_rate,network_false_alarm,event_level_confirmed,event_level_alerted,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,mac_mode,mac_cca_busy,mac_backoff_events,mac_access_drops,mac_queue_enabled,mac_queue_capacity,mac_queue_enqueued,mac_queue_drops,mac_max_queue_depth,mean_mac_queue_delay_s,max_mac_queue_delay_s,mean_mac_service_time_s,max_mac_service_time_s,mac_reliability_enabled,mac_max_retries,mac_retry_tx_frames,mac_retries_scheduled,mac_retry_exhausted,mac_ack_timeouts,mac_ack_tx_frames,mac_ack_rx_frames,mac_ack_losses,mac_ack_collisions,mac_ack_channel_losses,mac_ack_below_sensitivity,mac_duplicate_data_rx,mac_retry_tx_energy_mj,mac_ack_energy_mj,mac_unicast_frames_started,mac_unicast_frames_success,mac_unicast_frames_failed,mac_unicast_queue_drops,mac_unicast_delivery_ratio,mac_unicast_confirmed_delivery_ratio,mac_unicast_data_frames_received,mac_unicast_data_delivery_ratio,mac_reliable_frames_started,mac_reliable_frames_success,mac_reliable_frames_failed,mac_reliable_queue_drops,mac_reliable_delivery_ratio,mac_reliable_data_frames_received,mac_reliable_data_delivery_ratio,mac_pending_requests,physical_link_pdr_per_attempt,physical_tx_frames,interfered_receptions,mean_sinr_db,min_sinr_db,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,communication_architecture,routing_packets,routing_sink_data_arrivals,routing_delivered,routing_no_route,routing_hops_attempted,routing_hops_successful,routing_hops_failed,mean_route_hops_delivered,event_model,run,seed
periodic,20,600,1367,28800,11400,1367,10033,0.1199,0.5654,0.3147,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.2033,5,,-0.2033,0.2033,,,,6445,3588,0,0,csma_ca_lite,38,38,0,True,16,600,0,0,0.0,0.0,0.02057,0.083267,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1199,600,6707,-8.7052,-58.9305,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.1642,0.3625,348,328,348,232,0,distributed,0,0,0,0,0,0,0,,deterministic,28,6020028
event_driven,20,349,813,16752,6631,813,5818,0.1226,0.5581,0.3193,0.0,0.0,1588.2541,0.0,0,0,0,0,0,0,0.0,0,79.4127,2.4738,0.0312,0.999,,31.0,12.4,0.0,0.0,0.0,0.0,348.2741,1193.58,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.2033,5,,-0.2033,0.2033,,,,3701,2117,0,0,csma_ca_lite,22,22,0,True,16,349,0,0,0.0,0.0,0.014673,0.080902,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1226,349,3876,-7.5363,-56.2065,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.5813,0.3625,198,191,198,137,0,distributed,0,0,0,0,0,0,0,,deterministic,28,6020028
send_on_delta,20,169,417,8112,3211,417,2794,0.1299,0.5628,0.3074,0.0,0.0,793.0285,0.0,0,0,0,0,0,0,0.0,0,39.6514,1.7633,0.0445,0.998,,31.0,12.4,0.0,0.0,0.0,0.0,168.6485,577.98,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.2033,5,,-0.2033,0.2033,,,,1807,987,0,0,csma_ca_lite,13,13,0,True,16,169,0,0,0.0,0.0,0.009734,0.079467,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1299,169,1919,-4.7166,-54.6067,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.1835,0.45,99,93,99,63,0,distributed,0,0,0,0,0,0,0,,deterministic,28,6020028
teen_like,20,192,501,9216,3648,501,3147,0.1373,0.5389,0.3237,0.0,0.0,894.6406,0.0,0,0,0,0,0,0,0.0,0,44.732,1.7807,0.0398,0.9984,,31.0,12.4,0.0,0.0,0.0,0.0,191.6006,656.64,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.2033,5,,-0.2033,0.2033,,,,1966,1181,0,0,csma_ca_lite,17,17,0,True,16,192,0,0,0.0,0.0,0.009549,0.062158,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1373,192,2090,-5.046,-53.104,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.0577,0.4,107,101,107,78,0,distributed,0,0,0,0,0,0,0,,deterministic,28,6020028
distributed_edge,20,349,813,16752,6631,813,5818,0.1226,0.5581,0.3193,0.0,0.0,1681.2541,0.0,0,0,0,0,0,0,0.0,0,84.0627,2.4738,0.0294,0.9991,,31.0,12.4,93.0,0.0,0.0,0.0,348.2741,1193.58,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.1993,5,,-0.1993,0.1993,,,,3701,2117,0,0,csma_ca_lite,22,22,0,True,16,349,0,0,0.0,0.0,0.014673,0.080902,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1226,349,3876,-7.5363,-56.2065,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.5813,0.3625,198,191,198,137,0,distributed,0,0,0,0,0,0,0,,deterministic,28,6020028
voi_baseline,20,128,366,6144,2432,366,2066,0.1505,0.5193,0.3302,0.0,0.0,704.8938,0.0,0,0,0,0,0,0,0.0,0,35.2447,2.0432,0.058,0.9967,,31.0,12.4,93.0,0.0,0.0,0.0,127.7338,437.76,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.1993,5,,-0.1993,0.1993,,,,1263,803,0,0,csma_ca_lite,6,6,0,True,16,128,0,0,0.0,0.0,0.010223,0.080054,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1505,128,1368,-3.2331,-55.2838,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.1493,0.575,71,59,71,53,0,distributed,0,0,0,0,0,0,0,,deterministic,28,6020028
dstep,20,32,103,1536,608,103,505,0.1694,0.4062,0.4243,0.0,0.0,377.2684,0.0,0,0,0,0,0,0,0.0,0,18.8634,0.7732,0.041,0.9983,,31.0,12.4,93.0,21.0,57.52,17.975,31.9334,109.44,3.0,ideal,,,,20,0,,,,,,,,1.0,0.8,0.8889,1.0,0.8,0.8889,0.9,0.0,0.0,0,1,1,0.85,-0.1993,5,1.5692,-0.3965,0.3965,36.3039,5.4434,1.4945,247,258,0,103,csma_ca_lite,5,5,0,True,16,32,0,1,0.000239,0.003288,0.003973,0.01577,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1694,32,266,-0.3337,-40.5657,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.6468,0.5526,13,13,13,15,0,distributed,0,0,0,0,0,0,0,,deterministic,28,6020028
dstep_payoff,20,41,124,1968,779,124,655,0.1592,0.448,0.3928,0.0,0.0,360.6297,8.91,891,97,627,127,40,627,39.9168,37,18.0315,0.4884,0.0271,0.9993,,31.0,12.4,93.0,21.0,7.76,2.425,40.9147,140.22,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.1991,5,1.1009,-0.9347,0.9347,34.6981,5.6332,1.5482,349,306,0,126,csma_ca_lite,2,2,0,True,16,41,0,1,0.00016,0.000728,0.006827,0.017331,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1592,41,380,-0.7205,-47.8135,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.6269,0.65,20,18,20,20,0,distributed,0,0,0,0,0,0,0,,deterministic,28,6020028
periodic,20,600,1267,28800,11400,1267,10133,0.1111,0.5409,0.348,0.0,0.0,2687.5886,0.0,0,0,0,0,0,0,0.0,0,134.3794,1.4717,0.011,0.9999,,31.0,12.4,0.0,0.0,0.0,0.0,589.1886,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.0591,3,,0.0591,-0.0591,,,,6166,3967,0,0,csma_ca_lite,55,55,0,True,16,600,0,0,0.0,0.0,0.020433,0.084198,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1111,600,6479,-10.271,-62.4608,channel_aware_adaptive,19.5,10.0,20.0,16.9388,29,14,15,-88.3358,0.4625,334,313,330,208,4,distributed,0,0,0,0,0,0,0,,deterministic,29,6020029
event_driven,20,335,759,16080,6365,759,5606,0.1192,0.5464,0.3343,0.0,0.0,1524.74,0.0,0,0,0,0,0,0,0.0,0,76.237,2.7793,0.0365,0.9987,,31.0,12.4,0.0,0.0,0.0,0.0,332.64,1145.7,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.0591,3,,0.0591,-0.0591,,,,3478,2128,0,0,csma_ca_lite,28,28,0,True,16,335,0,0,0.0,0.0,0.016831,0.081366,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1192,335,3686,-7.9625,-57.7937,channel_aware_adaptive,20.0,20.0,20.0,19.1667,4,2,2,-87.5901,0.475,192,173,190,116,2,distributed,0,0,0,0,0,0,0,,deterministic,29,6020029
