policy,nodes,tx_packets,rx_packets,bytes_tx,link_delivery_attempts,link_delivery_successes,link_delivery_failures,link_pdr,collision_loss_rate,channel_loss_rate,sensitivity_loss_rate,out_of_range_loss_rate,energy_mj,energy_payoff_mj,payoff_decisions,payoff_compute_accepted,payoff_compute_rejected,payoff_transmit_accepted,payoff_transmit_rejected,payoff_optional_compute_skipped,payoff_estimated_tx_energy_saved_mj,payoff_reliability_overrides,energy_per_node_mean_mj,energy_per_node_std_mj,energy_cv,energy_jain_fairness,battery_residual_jain_fairness,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,battery_mode,battery_capacity_mah,battery_voltage_v,battery_initial_energy_mj_per_node,battery_alive_nodes,battery_dead_nodes,battery_mean_remaining_pct,battery_fnd_time_s,battery_hnd_time_s,battery_lnd_time_s,battery_mean_estimated_lifetime_s,battery_min_estimated_lifetime_s,battery_max_estimated_lifetime_s,precision,recall,f1,confirmation_precision,confirmation_recall,confirmation_f1,awareness_recall,false_confirmation_rate,false_awareness_rate,network_false_alarm,event_level_confirmed,event_level_alerted,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,mac_mode,mac_cca_busy,mac_backoff_events,mac_access_drops,mac_queue_enabled,mac_queue_capacity,mac_queue_enqueued,mac_queue_drops,mac_max_queue_depth,mean_mac_queue_delay_s,max_mac_queue_delay_s,mean_mac_service_time_s,max_mac_service_time_s,mac_reliability_enabled,mac_max_retries,mac_retry_tx_frames,mac_retries_scheduled,mac_retry_exhausted,mac_ack_timeouts,mac_ack_tx_frames,mac_ack_rx_frames,mac_ack_losses,mac_ack_collisions,mac_ack_channel_losses,mac_ack_below_sensitivity,mac_duplicate_data_rx,mac_retry_tx_energy_mj,mac_ack_energy_mj,mac_unicast_frames_started,mac_unicast_frames_success,mac_unicast_frames_failed,mac_unicast_queue_drops,mac_unicast_delivery_ratio,mac_unicast_confirmed_delivery_ratio,mac_unicast_data_frames_received,mac_unicast_data_delivery_ratio,mac_reliable_frames_started,mac_reliable_frames_success,mac_reliable_frames_failed,mac_reliable_queue_drops,mac_reliable_delivery_ratio,mac_reliable_data_frames_received,mac_reliable_data_delivery_ratio,mac_pending_requests,physical_link_pdr_per_attempt,physical_tx_frames,interfered_receptions,mean_sinr_db,min_sinr_db,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,communication_architecture,routing_packets,routing_sink_data_arrivals,routing_delivered,routing_no_route,routing_hops_attempted,routing_hops_successful,routing_hops_failed,mean_route_hops_delivered,event_model,run,seed
periodic,20,600,1436,28800,11400,1436,9964,0.126,0.5396,0.3345,0.0,0.0,2675.1146,0.0,0,0,0,0,0,0,0.0,0,133.7557,2.6372,0.0197,0.9996,,31.0,12.4,0.0,0.0,0.0,0.0,576.7146,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.1815,2,,0.1815,-0.1815,,,,6151,3813,0,0,csma_ca_lite,69,69,0,True,16,600,0,0,0.0,0.0,0.02185,0.083899,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.126,600,6498,-8.8761,-59.5342,channel_aware_adaptive,19.0,10.0,20.0,16.125,60,29,31,-87.4083,0.35,338,304,335,225,3,distributed,0,0,0,0,0,0,0,,deterministic,6,6020006
event_driven,20,353,819,16944,6707,819,5888,0.1221,0.5605,0.3174,0.0,0.0,1591.3728,0.0,0,0,0,0,0,0,0.0,0,79.5686,2.6815,0.0337,0.9989,,31.0,12.4,0.0,0.0,0.0,0.0,337.7128,1207.26,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.1815,2,,0.1815,-0.1815,,,,3759,2129,0,0,csma_ca_lite,31,31,0,True,16,353,0,0,0.0,0.0,0.015619,0.082667,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1221,353,3990,-7.8733,-57.1635,channel_aware_adaptive,19.5,10.0,20.0,17.1111,25,12,13,-88.7599,0.4125,201,187,200,128,1,distributed,0,0,0,0,0,0,0,,deterministic,6,6020006
send_on_delta,20,164,425,7872,3116,425,2691,0.1364,0.5475,0.3161,0.0,0.0,763.4545,0.0,0,0,0,0,0,0,0.0,0,38.1727,1.7903,0.0469,0.9978,,31.0,12.4,0.0,0.0,0.0,0.0,156.1745,560.88,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.1815,2,,0.1815,-0.1815,,,,1706,985,0,0,csma_ca_lite,9,9,0,True,16,164,0,0,0.0,0.0,0.009067,0.043536,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1364,164,1843,-5.5527,-60.5889,channel_aware_adaptive,19.0,10.0,20.0,17.6471,14,6,8,-86.8709,0.35,93,84,92,60,1,distributed,0,0,0,0,0,0,0,,deterministic,6,6020006
teen_like,20,191,462,9168,3629,462,3167,0.1273,0.5214,0.3513,0.0,0.0,883.1541,0.0,0,0,0,0,0,0,0.0,0,44.1577,2.1437,0.0485,0.9976,,31.0,12.4,0.0,0.0,0.0,0.0,183.5341,653.22,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.1815,2,,0.1815,-0.1815,,,,1892,1275,0,0,csma_ca_lite,12,12,0,True,16,191,0,0,0.0,0.0,0.011291,0.083524,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1273,191,2033,-5.434,-59.1476,channel_aware_adaptive,19.5,10.0,20.0,17.5676,17,8,9,-87.578,0.55,105,91,104,73,1,distributed,0,0,0,0,0,0,0,,deterministic,6,6020006
distributed_edge,20,353,819,16944,6707,819,5888,0.1221,0.5605,0.3174,0.0,0.0,1684.3728,0.0,0,0,0,0,0,0,0.0,0,84.2186,2.6815,0.0318,0.999,,31.0,12.4,93.0,0.0,0.0,0.0,337.7128,1207.26,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.1855,2,,0.1855,-0.1855,,,,3759,2129,0,0,csma_ca_lite,31,31,0,True,16,353,0,0,0.0,0.0,0.015619,0.082667,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1221,353,3990,-7.8733,-57.1635,channel_aware_adaptive,19.5,10.0,20.0,17.1111,25,12,13,-88.7599,0.4125,201,187,200,128,1,distributed,0,0,0,0,0,0,0,,deterministic,6,6020006
voi_baseline,20,123,332,5904,2337,332,2005,0.1421,0.537,0.3209,0.0,0.0,678.2304,0.0,0,0,0,0,0,0,0.0,0,33.9115,2.2322,0.0658,0.9957,,31.0,12.4,93.0,0.0,0.0,0.0,118.1704,420.66,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.1855,2,,0.1855,-0.1855,,,,1255,750,0,0,csma_ca_lite,7,7,0,True,16,123,0,0,0.0,0.0,0.008582,0.04128,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1421,123,1368,-4.1096,-62.3331,channel_aware_adaptive,18.5,10.0,20.0,17.931,9,3,6,-87.6003,0.4875,68,61,68,42,0,distributed,0,0,0,0,0,0,0,,deterministic,6,6020006
dstep,20,28,81,1344,532,81,451,0.1523,0.6184,0.2293,0.0,0.0,356.451,0.0,0,0,0,0,0,0,0.0,0,17.8225,1.0166,0.057,0.9968,,31.0,12.4,93.0,21.0,55.44,17.325,27.526,95.76,3.0,ideal,,,,20,0,,,,,,,,1.0,0.6,0.75,1.0,0.6,0.75,0.7,0.0,0.0,0,1,1,0.4,0.1855,2,2.7364,2.7358,-2.7358,38.2643,8.6564,1.1488,329,122,0,81,csma_ca_lite,5,5,0,True,16,28,0,1,7.8e-05,0.000728,0.005197,0.017041,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1523,28,361,-4.4964,-51.2355,channel_aware_adaptive,19.0,10.0,20.0,19.0909,2,0,2,-86.3385,0.5333,18,15,18,6,0,distributed,0,0,0,0,0,0,0,,deterministic,6,6020006
dstep_payoff,20,40,124,1920,760,124,636,0.1632,0.4947,0.3421,0.0,0.0,354.4194,8.89,889,92,632,136,29,632,28.9397,35,17.721,0.4192,0.0237,0.9994,,31.0,12.4,93.0,21.0,7.36,2.3,38.6694,136.8,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.1857,2,1.1857,-0.651,0.651,31.0125,6.1927,1.032,376,260,0,125,csma_ca_lite,3,3,0,True,16,40,0,1,0.000164,0.000728,0.006402,0.016968,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1632,40,418,-3.148,-53.8666,channel_aware_adaptive,19.0,10.0,20.0,18.75,4,1,3,-88.241,0.65,22,16,22,16,0,distributed,0,0,0,0,0,0,0,,deterministic,6,6020006
periodic,20,600,1328,28800,11400,1328,10072,0.1165,0.527,0.3565,0.0,0.0,2683.4306,0.0,0,0,0,0,0,0,0.0,0,134.1715,1.8747,0.014,0.9998,,31.0,12.4,0.0,0.0,0.0,0.0,585.0306,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.4625,3,,0.4625,-0.4625,,,,6008,4064,0,0,csma_ca_lite,80,80,0,True,16,600,0,0,0.0,0.0,0.020419,0.083948,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1165,600,6327,-9.6464,-64.701,channel_aware_adaptive,19.5,10.0,20.0,16.5574,41,20,21,-86.9478,0.375,326,296,326,206,0,distributed,0,0,0,0,0,0,0,,deterministic,7,6020007
event_driven,20,331,733,15888,6289,733,5556,0.1166,0.5441,0.3393,0.0,0.0,1501.2471,0.0,0,0,0,0,0,0,0.0,0,75.0624,2.289,0.0305,0.9991,,31.0,12.4,0.0,0.0,0.0,0.0,322.8271,1132.02,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.4625,3,,0.4625,-0.4625,,,,3422,2134,0,0,csma_ca_lite,47,47,0,True,16,331,0,0,0.0,0.0,0.015847,0.081865,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1166,331,3648,-8.1446,-60.6298,channel_aware_adaptive,19.5,10.0,20.0,17.3171,21,10,11,-87.2679,0.4625,184,163,184,112,0,distributed,0,0,0,0,0,0,0,,deterministic,7,6020007
