policy,nodes,tx_packets,rx_packets,bytes_tx,link_delivery_attempts,link_delivery_successes,link_delivery_failures,link_pdr,collision_loss_rate,channel_loss_rate,sensitivity_loss_rate,out_of_range_loss_rate,energy_mj,energy_payoff_mj,payoff_decisions,payoff_compute_accepted,payoff_compute_rejected,payoff_transmit_accepted,payoff_transmit_rejected,payoff_optional_compute_skipped,payoff_estimated_tx_energy_saved_mj,payoff_reliability_overrides,energy_per_node_mean_mj,energy_per_node_std_mj,energy_cv,energy_jain_fairness,battery_residual_jain_fairness,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,battery_mode,battery_capacity_mah,battery_voltage_v,battery_initial_energy_mj_per_node,battery_alive_nodes,battery_dead_nodes,battery_mean_remaining_pct,battery_fnd_time_s,battery_hnd_time_s,battery_lnd_time_s,battery_mean_estimated_lifetime_s,battery_min_estimated_lifetime_s,battery_max_estimated_lifetime_s,precision,recall,f1,confirmation_precision,confirmation_recall,confirmation_f1,awareness_recall,false_confirmation_rate,false_awareness_rate,network_false_alarm,event_level_confirmed,event_level_alerted,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,mac_mode,mac_cca_busy,mac_backoff_events,mac_access_drops,mac_queue_enabled,mac_queue_capacity,mac_queue_enqueued,mac_queue_drops,mac_max_queue_depth,mean_mac_queue_delay_s,max_mac_queue_delay_s,mean_mac_service_time_s,max_mac_service_time_s,mac_reliability_enabled,mac_max_retries,mac_retry_tx_frames,mac_retries_scheduled,mac_retry_exhausted,mac_ack_timeouts,mac_ack_tx_frames,mac_ack_rx_frames,mac_ack_losses,mac_ack_collisions,mac_ack_channel_losses,mac_ack_below_sensitivity,mac_duplicate_data_rx,mac_retry_tx_energy_mj,mac_ack_energy_mj,mac_unicast_frames_started,mac_unicast_frames_success,mac_unicast_frames_failed,mac_unicast_queue_drops,mac_unicast_delivery_ratio,mac_unicast_confirmed_delivery_ratio,mac_unicast_data_frames_received,mac_unicast_data_delivery_ratio,mac_reliable_frames_started,mac_reliable_frames_success,mac_reliable_frames_failed,mac_reliable_queue_drops,mac_reliable_delivery_ratio,mac_reliable_data_frames_received,mac_reliable_data_delivery_ratio,mac_pending_requests,physical_link_pdr_per_attempt,physical_tx_frames,interfered_receptions,mean_sinr_db,min_sinr_db,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,communication_architecture,routing_packets,routing_sink_data_arrivals,routing_delivered,routing_no_route,routing_hops_attempted,routing_hops_successful,routing_hops_failed,mean_route_hops_delivered,event_model,run,seed
periodic,20,600,1157,28800,11400,1157,10243,0.1015,0.5522,0.3463,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5307,5,,-0.5307,0.5307,,,,6295,3948,0,0,csma_ca_lite,44,44,0,True,16,600,0,0,0.0,0.0,0.020443,0.084198,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1015,600,6555,-9.5061,-55.9108,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-90.1878,0.25,341,325,341,234,0,distributed,0,0,0,0,0,0,0,,deterministic,14,6020014
event_driven,20,341,657,16368,6479,657,5822,0.1014,0.5695,0.3291,0.0,0.0,1552.9107,0.0,0,0,0,0,0,0,0.0,0,77.6455,2.0444,0.0263,0.9993,,31.0,12.4,0.0,0.0,0.0,0.0,340.2907,1166.22,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5307,5,,-0.5307,0.5307,,,,3690,2132,0,0,csma_ca_lite,15,15,0,True,16,341,0,0,0.0,0.0,0.015431,0.081659,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1014,341,3857,-8.489,-55.7101,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.0977,0.3875,197,186,197,132,0,distributed,0,0,0,0,0,0,0,,deterministic,14,6020014
send_on_delta,20,166,370,7968,3154,370,2784,0.1173,0.5377,0.345,0.0,0.0,779.7747,0.0,0,0,0,0,0,0,0.0,0,38.9887,1.4424,0.037,0.9986,,31.0,12.4,0.0,0.0,0.0,0.0,165.6547,567.72,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5307,5,,-0.5307,0.5307,,,,1696,1088,0,0,csma_ca_lite,10,10,0,True,16,166,0,0,0.0,0.0,0.009868,0.075663,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1173,166,1805,-5.1294,-54.4285,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.0373,0.4625,93,86,93,62,0,distributed,0,0,0,0,0,0,0,,deterministic,14,6020014
teen_like,20,194,425,9312,3686,425,3261,0.1153,0.5591,0.3256,0.0,0.0,903.4765,0.0,0,0,0,0,0,0,0.0,0,45.1738,1.8308,0.0405,0.9984,,31.0,12.4,0.0,0.0,0.0,0.0,193.5965,663.48,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5307,5,,-0.5307,0.5307,,,,2061,1200,0,0,csma_ca_lite,11,11,0,True,16,194,0,0,0.0,0.0,0.010976,0.067452,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1153,194,2204,-5.44,-55.7579,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.7206,0.4375,111,103,111,69,0,distributed,0,0,0,0,0,0,0,,deterministic,14,6020014
distributed_edge,20,341,657,16368,6479,657,5822,0.1014,0.5695,0.3291,0.0,0.0,1645.9107,0.0,0,0,0,0,0,0,0.0,0,82.2955,2.0444,0.0248,0.9994,,31.0,12.4,93.0,0.0,0.0,0.0,340.2907,1166.22,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5267,5,,-0.5267,0.5267,,,,3690,2132,0,0,csma_ca_lite,15,15,0,True,16,341,0,0,0.0,0.0,0.015431,0.081659,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1014,341,3857,-8.489,-55.7101,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.0977,0.3875,197,186,197,132,0,distributed,0,0,0,0,0,0,0,,deterministic,14,6020014
voi_baseline,20,125,291,6000,2375,291,2084,0.1225,0.5394,0.3381,0.0,0.0,691.64,0.0,0,0,0,0,0,0,0.0,0,34.582,2.0993,0.0607,0.9963,,31.0,12.4,93.0,0.0,0.0,0.0,124.74,427.5,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5267,5,,-0.5267,0.5267,,,,1281,803,0,0,csma_ca_lite,7,7,0,True,16,125,0,0,0.0,0.0,0.008411,0.037002,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1225,125,1387,-3.9104,-53.4041,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.5979,0.475,68,60,68,49,0,distributed,0,0,0,0,0,0,0,,deterministic,14,6020014
dstep,20,37,78,1776,703,78,625,0.111,0.5334,0.3556,0.0,0.0,396.418,0.0,0,0,0,0,0,0,0.0,0,19.8209,0.6971,0.0352,0.9988,,31.0,12.4,93.0,21.0,55.28,17.275,36.923,126.54,3.0,ideal,,,,20,0,,,,,,,,1.0,0.65,0.7879,1.0,0.65,0.7879,0.75,0.0,0.0,0,1,1,0.7,-0.5267,5,2.2027,1.2085,-1.2085,33.3744,12.8315,1.2767,375,250,0,78,csma_ca_lite,0,0,0,True,16,37,0,1,0.000118,0.000728,0.005193,0.016196,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.111,37,399,-4.5683,-52.9385,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.7907,0.45,21,20,21,14,0,distributed,0,0,0,0,0,0,0,,deterministic,14,6020014
dstep_payoff,20,41,102,1968,779,102,677,0.1309,0.448,0.4211,0.0,0.0,358.0997,8.48,848,77,625,118,28,625,27.9418,29,17.905,0.4246,0.0237,0.9994,,31.0,12.4,93.0,21.0,6.16,1.925,40.9147,140.22,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.5265,5,1.1235,-0.6647,0.6647,33.5518,8.9869,1.3586,349,328,0,105,csma_ca_lite,3,3,0,True,16,41,0,1,0.000309,0.002648,0.005771,0.016196,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1309,41,380,-2.5249,-49.5313,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-90.0653,0.525,20,15,20,20,0,distributed,0,0,0,0,0,0,0,,deterministic,14,6020014
periodic,20,600,1270,28800,11400,1270,10130,0.1114,0.5703,0.3183,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.2067,3,,-0.2067,0.2067,,,,6501,3629,0,0,csma_ca_lite,27,27,0,True,16,600,0,0,0.0,0.0,0.020569,0.083839,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1114,600,6764,-9.8997,-56.6572,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.2955,0.2625,348,322,348,221,0,distributed,0,0,0,0,0,0,0,,deterministic,15,6020015
event_driven,20,339,718,16272,6441,718,5723,0.1115,0.5654,0.3231,0.0,0.0,1544.0749,0.0,0,0,0,0,0,0,0.0,0,77.2037,1.9947,0.0258,0.9993,,31.0,12.4,0.0,0.0,0.0,0.0,338.2949,1159.38,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.2067,3,,-0.2067,0.2067,,,,3642,2081,0,0,csma_ca_lite,13,13,0,True,16,339,0,0,0.0,0.0,0.016752,0.083052,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1115,339,3800,-8.2332,-54.6578,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.0644,0.4375,197,189,197,128,0,distributed,0,0,0,0,0,0,0,,deterministic,15,6020015
