policy,nodes,tx_packets,rx_packets,bytes_tx,link_delivery_attempts,link_delivery_successes,link_delivery_failures,link_pdr,collision_loss_rate,channel_loss_rate,sensitivity_loss_rate,out_of_range_loss_rate,energy_mj,energy_payoff_mj,payoff_decisions,payoff_compute_accepted,payoff_compute_rejected,payoff_transmit_accepted,payoff_transmit_rejected,payoff_optional_compute_skipped,payoff_estimated_tx_energy_saved_mj,payoff_reliability_overrides,energy_per_node_mean_mj,energy_per_node_std_mj,energy_cv,energy_jain_fairness,battery_residual_jain_fairness,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,battery_mode,battery_capacity_mah,battery_voltage_v,battery_initial_energy_mj_per_node,battery_alive_nodes,battery_dead_nodes,battery_mean_remaining_pct,battery_fnd_time_s,battery_hnd_time_s,battery_lnd_time_s,battery_mean_estimated_lifetime_s,battery_min_estimated_lifetime_s,battery_max_estimated_lifetime_s,precision,recall,f1,confirmation_precision,confirmation_recall,confirmation_f1,awareness_recall,false_confirmation_rate,false_awareness_rate,network_false_alarm,event_level_confirmed,event_level_alerted,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,mac_mode,mac_cca_busy,mac_backoff_events,mac_access_drops,mac_queue_enabled,mac_queue_capacity,mac_queue_enqueued,mac_queue_drops,mac_max_queue_depth,mean_mac_queue_delay_s,max_mac_queue_delay_s,mean_mac_service_time_s,max_mac_service_time_s,mac_reliability_enabled,mac_max_retries,mac_retry_tx_frames,mac_retries_scheduled,mac_retry_exhausted,mac_ack_timeouts,mac_ack_tx_frames,mac_ack_rx_frames,mac_ack_losses,mac_ack_collisions,mac_ack_channel_losses,mac_ack_below_sensitivity,mac_duplicate_data_rx,mac_retry_tx_energy_mj,mac_ack_energy_mj,mac_unicast_frames_started,mac_unicast_frames_success,mac_unicast_frames_failed,mac_unicast_queue_drops,mac_unicast_delivery_ratio,mac_unicast_confirmed_delivery_ratio,mac_unicast_data_frames_received,mac_unicast_data_delivery_ratio,mac_reliable_frames_started,mac_reliable_frames_success,mac_reliable_frames_failed,mac_reliable_queue_drops,mac_reliable_delivery_ratio,mac_reliable_data_frames_received,mac_reliable_data_delivery_ratio,mac_pending_requests,physical_link_pdr_per_attempt,physical_tx_frames,interfered_receptions,mean_sinr_db,min_sinr_db,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,communication_architecture,routing_packets,routing_sink_data_arrivals,routing_delivered,routing_no_route,routing_hops_attempted,routing_hops_successful,routing_hops_failed,mean_route_hops_delivered,event_model,run,seed
periodic,20,600,1449,28800,11400,1449,9951,0.1271,0.5475,0.3254,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4678,7,,-0.4678,0.4678,,,,6242,3709,0,0,csma_ca_lite,50,50,0,True,16,600,0,0,0.0,0.0,0.019444,0.083297,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1271,600,6536,-9.0469,-58.1791,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.9823,0.425,332,305,332,238,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6020004
event_driven,20,341,810,16368,6479,810,5669,0.125,0.5689,0.3061,0.0,0.0,1552.9107,0.0,0,0,0,0,0,0,0.0,0,77.6455,2.2019,0.0284,0.9992,,31.0,12.4,0.0,0.0,0.0,0.0,340.2907,1166.22,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4678,7,,-0.4678,0.4678,,,,3686,1983,0,0,csma_ca_lite,19,19,0,True,16,341,0,0,0.0,0.0,0.016721,0.083389,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.125,341,3914,-7.0466,-58.1581,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.1777,0.4,202,179,202,121,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6020004
send_on_delta,20,164,450,7872,3116,450,2666,0.1444,0.5485,0.3071,0.0,0.0,770.9389,0.0,0,0,0,0,0,0,0.0,0,38.5469,1.7656,0.0458,0.9979,,31.0,12.4,0.0,0.0,0.0,0.0,163.6589,560.88,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4678,7,,-0.4678,0.4678,,,,1709,957,0,0,csma_ca_lite,3,3,0,True,16,164,0,0,0.0,0.0,0.009683,0.048959,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1444,164,1843,-4.5458,-54.9375,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.183,0.475,94,84,94,64,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6020004
teen_like,20,185,478,8880,3515,478,3037,0.136,0.5496,0.3144,0.0,0.0,863.7152,0.0,0,0,0,0,0,0,0.0,0,43.1858,1.7519,0.0406,0.9984,,31.0,12.4,0.0,0.0,0.0,0.0,184.6152,632.7,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4678,7,,-0.4678,0.4678,,,,1932,1105,0,0,csma_ca_lite,10,10,0,True,16,185,0,0,0.0,0.0,0.009774,0.06556,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.136,185,2071,-4.7856,-53.4725,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.8465,0.4,106,96,106,69,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6020004
distributed_edge,20,341,810,16368,6479,810,5669,0.125,0.5689,0.3061,0.0,0.0,1645.9107,0.0,0,0,0,0,0,0,0.0,0,82.2955,2.2019,0.0268,0.9993,,31.0,12.4,93.0,0.0,0.0,0.0,340.2907,1166.22,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4638,7,,-0.4638,0.4638,,,,3686,1983,0,0,csma_ca_lite,19,19,0,True,16,341,0,0,0.0,0.0,0.016721,0.083389,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.125,341,3914,-7.0466,-58.1581,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.1777,0.4,202,179,202,121,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6020004
voi_baseline,20,125,320,6000,2375,320,2055,0.1347,0.5272,0.3381,0.0,0.0,691.64,0.0,0,0,0,0,0,0,0.0,0,34.582,2.253,0.0651,0.9958,,31.0,12.4,93.0,0.0,0.0,0.0,124.74,427.5,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4638,7,,-0.4638,0.4638,,,,1252,803,0,0,csma_ca_lite,5,5,0,True,16,125,0,0,0.0,0.0,0.007437,0.028975,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1347,125,1349,-3.8713,-51.805,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.7677,0.45,66,63,66,52,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6020004
dstep,20,31,85,1488,589,85,504,0.1443,0.5212,0.3345,0.0,0.0,370.7505,0.0,0,0,0,0,0,0,0.0,0,18.5375,0.7049,0.038,0.9986,,31.0,12.4,93.0,21.0,55.92,17.475,30.9355,106.02,3.0,ideal,,,,20,0,,,,,,,,1.0,0.7,0.8235,1.0,0.7,0.8235,0.9,0.0,0.0,0,1,1,0.75,-0.4638,7,2.6003,0.7671,-0.7671,37.9435,11.6918,1.7369,307,197,0,85,csma_ca_lite,2,2,0,True,16,31,0,1,7e-05,0.000728,0.003619,0.01688,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1443,31,342,-2.0218,-49.585,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.282,0.5132,18,16,18,13,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6020004
dstep_payoff,20,45,143,2160,855,143,712,0.1673,0.5053,0.3275,0.0,0.0,380.4864,9.31,931,114,629,150,38,629,37.921,49,19.0243,0.5014,0.0264,0.9993,,31.0,12.4,93.0,21.0,9.12,2.85,44.9064,153.9,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4636,7,1.5864,-0.2014,0.2014,39.8508,3.362,1.1061,432,280,0,143,csma_ca_lite,1,1,0,True,16,45,0,1,8.1e-05,0.000728,0.00667,0.026483,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1673,45,475,-2.6996,-50.0043,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.4916,0.65,25,19,25,18,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6020004
periodic,20,600,1661,28800,11400,1661,9739,0.1457,0.5461,0.3082,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2881,4,,0.2881,-0.2881,,,,6225,3514,0,0,csma_ca_lite,49,49,0,True,16,600,0,0,0.0,0.0,0.019367,0.084222,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1457,600,6498,-8.224,-55.0527,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.7346,0.4125,335,311,335,240,0,distributed,0,0,0,0,0,0,0,,deterministic,5,6020005
event_driven,20,353,934,16944,6707,934,5773,0.1393,0.5782,0.2825,0.0,0.0,1605.9258,0.0,0,0,0,0,0,0,0.0,0,80.2963,2.4846,0.0309,0.999,,31.0,12.4,0.0,0.0,0.0,0.0,352.2658,1207.26,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2881,4,,0.2881,-0.2881,,,,3878,1895,0,0,csma_ca_lite,23,23,0,True,16,353,0,0,0.0,0.0,0.016689,0.082296,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1393,353,4085,-7.0679,-52.7672,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.0662,0.4625,207,199,207,125,0,distributed,0,0,0,0,0,0,0,,deterministic,5,6020005
send_on_delta,20,166,498,7968,3154,498,2656,0.1579,0.5352,0.3069,0.0,0.0,779.7747,0.0,0,0,0,0,0,0,0.0,0,38.9887,1.4424,0.037,0.9986,,31.0,12.4,0.0,0.0,0.0,0.0,165.6547,567.72,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2881,4,,0.2881,-0.2881,,,,1688,968,0,0,csma_ca_lite,8,8,0,True,16,166,0,0,0.0,0.0,0.009362,0.049235,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1579,166,1805,-3.7735,-50.732,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.5003,0.4375,95,86,95,63,0,distributed,0,0,0,0,0,0,0,,deterministic,5,6020005
teen_like,20,198,572,9504,3762,572,3190,0.152,0.5484,0.2996,0.0,0.0,921.1482,0.0,0,0,0,0,0,0,0.0,0,46.0574,1.8812,0.0408,0.9983,,31.0,12.4,0.0,0.0,0.0,0.0,197.5882,677.16,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2881,4,,0.2881,-0.2881,,,,2063,1127,0,0,csma_ca_lite,10,10,0,True,16,198,0,0,0.0,0.0,0.012963,0.082542,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.152,198,2223,-3.5531,-51.6451,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.5872,0.65,116,102,116,69,0,distributed,0,0,0,0,0,0,0,,deterministic,5,6020005
distributed_edge,20,353,934,16944,6707,934,5773,0.1393,0.5782,0.2825,0.0,0.0,1698.9258,0.0,0,0,0,0,0,0,0.0,0,84.9463,2.4846,0.0292,0.9991,,31.0,12.4,93.0,0.0,0.0,0.0,352.2658,1207.26,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2921,4,,0.2921,-0.2921,,,,3878,1895,0,0,csma_ca_lite,23,23,0,True,16,353,0,0,0.0,0.0,0.016689,0.082296,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1393,353,4085,-7.0679,-52.7672,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.0662,0.4625,207,199,207,125,0,distributed,0,0,0,0,0,0,0,,deterministic,5,6020005
voi_baseline,20,116,374,5568,2204,374,1830,0.1697,0.5036,0.3267,0.0,0.0,651.8787,0.0,0,0,0,0,0,0,0.0,0,32.5939,2.1423,0.0657,0.9957,,31.0,12.4,93.0,0.0,0.0,0.0,115.7587,396.72,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2921,4,,0.2921,-0.2921,,,,1110,720,0,0,csma_ca_lite,9,9,0,True,16,116,0,0,0.0,0.0,0.008254,0.048115,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1697,116,1216,-2.8726,-51.0064,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.9337,0.5375,61,51,61,47,0,distributed,0,0,0,0,0,0,0,,deterministic,5,6020005
dstep,20,29,83,1392,551,83,468,0.1506,0.5191,0.3303,0.0,0.0,361.7047,0.0,0,0,0,0,0,0,0.0,0,18.0852,0.776,0.0429,0.9982,,31.0,12.4,93.0,21.0,55.76,17.425,28.9397,99.18,3.0,ideal,,,,20,0,,,,,,,,1.0,0.7,0.8235,1.0,0.7,0.8235,0.9,0.0,0.0,0,1,1,0.9,0.2921,4,1.8628,-0.0672,0.0672,26.3056,4.293,0.5794,286,182,0,83,csma_ca_lite,1,1,0,True,16,29,0,1,0.00061,0.015515,0.002549,0.015515,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1506,29,304,-1.9547,-42.4694,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.2016,0.4342,16,14,16,12,0,distributed,0,0,0,0,0,0,0,,deterministic,5,6020005
dstep_payoff,20,45,144,2160,855,144,711,0.1684,0.5088,0.3228,0.0,0.0,381.9764,9.33,933,128,616,155,34,616,33.9293,45,19.0988,0.6183,0.0324,0.999,,31.0,12.4,93.0,21.0,10.24,3.2,44.9064,153.9,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,0.2923,4,1.2923,-1.1935,1.1935,30.1596,8.555,1.0222,435,276,0,144,csma_ca_lite,2,2,0,True,16,45,0,1,0.000564,0.017378,0.005863,0.017378,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1684,45,456,-1.9277,-50.5763,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-87.7139,0.5875,24,23,24,20,0,distributed,0,0,0,0,0,0,0,,deterministic,5,6020005
periodic,50,1500,6840,72000,73500,6840,66660,0.0931,0.6681,0.2388,0.0,0.0,14817.5162,0.0,0,0,0,0,0,0,0.0,0,296.3503,1.3545,0.0046,1.0,,77.5,31.0,0.0,0.0,0.0,0.0,1471.5162,13230.0,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4743,11,,-0.4743,0.4743,,,,49109,17551,0,0,csma_ca_lite,253,253,0,True,16,1500,0,0,0.0,0.0,0.023986,0.083904,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0931,1500,51989,-10.1073,-63.2825,channel_aware_adaptive,19.8,10.0,20.0,17.3333,55,27,28,-83.7073,0.665,899,738,898,279,1,distributed,0,0,0,0,0,0,0,,deterministic,4,6050004
event_driven,50,845,3835,40560,41405,3835,37570,0.0926,0.6876,0.2197,0.0,0.0,8396.7578,0.0,0,0,0,0,0,0,0.0,0,167.9352,2.478,0.0148,0.9998,,77.5,31.0,0.0,0.0,0.0,0.0,827.8578,7452.9,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4743,11,,-0.4743,0.4743,,,,28472,9098,0,0,csma_ca_lite,135,135,0,True,16,845,0,0,0.0,0.0,0.020002,0.083904,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0926,845,30233,-8.6194,-61.2402,channel_aware_adaptive,19.4,10.0,20.0,17.7647,35,16,19,-83.9815,0.56,524,425,524,159,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6050004
send_on_delta,50,357,1770,17136,17493,1770,15723,0.1012,0.659,0.2398,0.0,0.0,3617.2552,0.0,0,0,0,0,0,0,0.0,0,72.3451,1.7115,0.0237,0.9994,,77.5,31.0,0.0,0.0,0.0,0.0,352.5152,3148.74,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4743,11,,-0.4743,0.4743,,,,11528,4195,0,0,csma_ca_lite,41,41,0,True,16,357,0,0,0.0,0.0,0.01043,0.077639,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1012,357,12299,-6.357,-56.6814,channel_aware_adaptive,19.6,10.0,20.0,19.1379,8,3,5,-84.2922,0.66,210,173,210,72,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6050004
teen_like,50,450,2177,21600,22050,2177,19873,0.0987,0.629,0.2722,0.0,0.0,4530.3218,0.0,0,0,0,0,0,0,0.0,0,90.6064,2.1396,0.0236,0.9994,,77.5,31.0,0.0,0.0,0.0,0.0,445.3218,3969.0,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4743,11,,-0.4743,0.4743,,,,13870,6003,0,0,csma_ca_lite,53,53,0,True,16,450,0,0,0.0,0.0,0.013554,0.082593,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0987,450,14602,-7.2348,-59.9919,channel_aware_adaptive,19.6,10.0,20.0,18.871,12,5,7,-83.8821,0.56,268,228,268,83,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6050004
distributed_edge,50,845,3835,40560,41405,3835,37570,0.0926,0.6876,0.2197,0.0,0.0,8629.2578,0.0,0,0,0,0,0,0,0.0,0,172.5852,2.478,0.0144,0.9998,,77.5,31.0,232.5,0.0,0.0,0.0,827.8578,7452.9,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4703,11,,-0.4703,0.4703,,,,28472,9098,0,0,csma_ca_lite,135,135,0,True,16,845,0,0,0.0,0.0,0.020002,0.083904,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0926,845,30233,-8.6194,-61.2402,channel_aware_adaptive,19.4,10.0,20.0,17.7647,35,16,19,-83.9815,0.56,524,425,524,159,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6050004
voi_baseline,50,275,1390,13200,13475,1390,12085,0.1032,0.6215,0.2753,0.0,0.0,3046.349,0.0,0,0,0,0,0,0,0.0,0,60.927,2.2168,0.0364,0.9987,,77.5,31.0,232.5,0.0,0.0,0.0,272.349,2425.5,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4703,11,,-0.4703,0.4703,,,,8375,3710,0,0,csma_ca_lite,27,27,0,True,16,275,0,0,0.0,0.0,0.009202,0.054915,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1032,275,8869,-5.6969,-56.9427,channel_aware_adaptive,19.4,10.0,20.0,19.1228,7,2,5,-84.2689,0.595,161,124,160,48,1,distributed,0,0,0,0,0,0,0,,deterministic,4,6050004
dstep,50,101,489,4848,4949,489,4460,0.0988,0.6124,0.2887,0.0,0.0,1606.7049,0.0,0,0,0,0,0,0,0.0,0,32.1341,0.4768,0.0148,0.9998,,77.5,31.0,232.5,52.5,163.12,50.975,100.7899,890.82,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,0.8,-0.4703,11,2.0697,-0.0367,0.0367,40.9654,3.6483,1.0755,3031,1429,0,489,csma_ca_lite,16,16,0,True,16,101,0,1,0.000578,0.017088,0.005845,0.019088,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.0988,101,3234,-4.7126,-57.7573,channel_aware_adaptive,19.8,10.0,20.0,19.8039,1,0,1,-83.4856,0.71,56,46,56,14,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6050004
dstep_payoff,50,108,572,5184,5292,572,4720,0.1081,0.6187,0.2732,0.0,0.0,1530.6554,27.53,2753,398,1674,538,143,1674,140.6236,135,30.6131,0.5784,0.0189,0.9996,,77.5,31.0,232.5,52.5,31.84,9.95,107.7754,952.56,7.5,ideal,,,,50,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.4701,11,1.3299,-1.3591,1.3591,40.4335,6.7707,1.3185,3274,1446,0,573,csma_ca_lite,15,15,0,True,16,108,0,1,0.000411,0.013638,0.006307,0.026714,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1081,108,3479,-3.9958,-50.9665,channel_aware_adaptive,19.6,10.0,20.0,19.6154,2,0,2,-83.829,0.7,64,55,64,18,0,distributed,0,0,0,0,0,0,0,,deterministic,4,6050004
