policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,run,seed
periodic,50,1500,1500,72000,911.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,270.0,7.5,1.0,1.0,1.0,1.0,-0.7502,17,,-0.7502,0.7502,,,,23026,194,0,2,51236
periodic,50,1500,1500,72000,911.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,270.0,7.5,1.0,1.0,1.0,0.98,-0.4356,10,,-0.4356,0.4356,,,,20027,193,0,3,51237
periodic,50,1500,1500,72000,911.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,270.0,7.5,1.0,1.0,1.0,1.0,-0.9926,15,,-0.9926,0.9926,,,,21410,190,0,4,51238
event_driven,50,873,1181,41904,634.13,77.5,31.0,0.0,0.0,0.0,0.0,305.55,212.58,7.5,1.0,1.0,1.0,1.0,-0.5194,15,,-0.5194,0.5194,,,,11209,155,0,0,51234
event_driven,50,829,1197,39792,621.61,77.5,31.0,0.0,0.0,0.0,0.0,290.15,215.46,7.5,1.0,1.0,1.0,1.0,-1.0685,17,,-1.0685,1.0685,,,,10750,148,0,1,51235
event_driven,50,857,1133,41136,619.89,77.5,31.0,0.0,0.0,0.0,0.0,299.95,203.94,7.5,1.0,1.0,1.0,1.0,-0.2302,11,,-0.2302,0.2302,,,,12803,144,0,2,51236
event_driven,50,868,1149,41664,626.62,77.5,31.0,0.0,0.0,0.0,0.0,303.8,206.82,7.5,1.0,1.0,1.0,1.0,-0.3756,13,,-0.3756,0.3756,,,,11559,170,0,3,51237
event_driven,50,845,1138,40560,616.59,77.5,31.0,0.0,0.0,0.0,0.0,295.75,204.84,7.5,1.0,1.0,1.0,1.0,-0.2726,5,,-0.2726,0.2726,,,,11895,133,0,4,51238
central_edge,50,1500,0,72000,641.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,0.0,7.5,1.0,1.0,1.0,0.04,-0.9394,14,,1.6212,-1.6212,,,,651,9,0,0,51234
central_edge,50,1500,0,72000,641.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,0.0,7.5,1.0,1.0,1.0,0.04,-0.3085,13,,5.0273,-5.0273,,,,561,9,0,1,51235
central_edge,50,1500,0,72000,641.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,0.0,7.5,1.0,1.0,1.0,0.02,-0.2302,10,,6.7774,-6.7774,,,,716,4,0,2,51236
central_edge,50,1500,0,72000,641.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,0.0,7.5,1.0,1.0,1.0,0.04,-0.4756,13,,-4.5,4.5,,,,598,2,0,3,51237
central_edge,50,1500,0,72000,641.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,0.0,7.5,1.0,1.0,1.0,0.02,-0.5326,12,,2.6886,-2.6886,,,,567,3,0,4,51238
distributed_edge,50,873,1181,41904,866.63,77.5,31.0,232.5,0.0,0.0,0.0,305.55,212.58,7.5,1.0,1.0,1.0,1.0,-0.5154,15,,-0.5154,0.5154,,,,11209,155,0,0,51234
distributed_edge,50,829,1197,39792,854.11,77.5,31.0,232.5,0.0,0.0,0.0,290.15,215.46,7.5,1.0,1.0,1.0,1.0,-1.0645,17,,-1.0645,1.0645,,,,10750,148,0,1,51235
distributed_edge,50,857,1133,41136,852.39,77.5,31.0,232.5,0.0,0.0,0.0,299.95,203.94,7.5,1.0,1.0,1.0,1.0,-0.2262,11,,-0.2262,0.2262,,,,12803,144,0,2,51236
distributed_edge,50,868,1149,41664,859.12,77.5,31.0,232.5,0.0,0.0,0.0,303.8,206.82,7.5,1.0,1.0,1.0,1.0,-0.3716,13,,-0.3716,0.3716,,,,11559,170,0,3,51237
distributed_edge,50,845,1138,40560,849.09,77.5,31.0,232.5,0.0,0.0,0.0,295.75,204.84,7.5,1.0,1.0,1.0,1.0,-0.2686,5,,-0.2686,0.2686,,,,11895,133,0,4,51238
dstep,50,101,391,4848,710.535,77.5,31.0,232.5,52.5,155.28,48.525,35.35,70.38,7.5,1.0,1.0,1.0,1.0,-0.6554,10,0.3846,-0.9735,0.9735,42.6946,4.7773,1.3773,1003,65,391,0,51234
dstep,50,98,347,4704,696.945,77.5,31.0,232.5,52.5,151.76,47.425,34.3,62.46,7.5,1.0,1.0,1.0,1.0,-0.2645,11,0.7555,-0.6022,0.6022,43.5905,5.3191,0.7148,1028,46,347,1,51235
dstep,50,96,375,4608,704.225,77.5,31.0,232.5,52.5,154.0,48.125,33.6,67.5,7.5,1.0,1.0,1.0,1.0,-0.2662,12,0.6138,-1.9031,1.9031,40.3121,6.7868,1.1333,1094,66,375,2,51236
dstep,50,109,422,5232,722.065,77.5,31.0,232.5,52.5,157.68,49.275,38.15,75.96,7.5,1.0,0.98,0.9899,1.0,-0.5716,15,0.8023,-0.4098,0.4098,41.1637,4.9266,1.4393,1082,59,422,3,51237
dstep,50,99,396,4752,711.26,77.5,31.0,232.5,52.5,155.68,48.65,34.65,71.28,7.5,1.0,1.0,1.0,1.0,-0.5686,6,0.5714,-1.1261,1.1261,42.2298,4.8896,1.1499,1098,51,396,4,51238
periodic,100,3000,3000,144000,1822.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,540.0,15.0,1.0,1.0,1.0,1.0,0.0107,16,,0.0107,-0.0107,,,,78964,416,0,0,101234
periodic,100,3000,3000,144000,1822.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,540.0,15.0,1.0,1.0,1.0,1.0,0.1682,12,,0.1682,-0.1682,,,,93016,464,0,1,101235
periodic,100,3000,3000,144000,1822.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,540.0,15.0,1.0,1.0,1.0,0.99,-0.4199,26,,-0.4199,0.4199,,,,87895,485,0,2,101236
periodic,100,3000,3000,144000,1822.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,540.0,15.0,1.0,1.0,1.0,1.0,-0.5491,24,,-0.5491,0.5491,,,,89464,416,0,3,101237
periodic,100,3000,3000,144000,1822.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,540.0,15.0,1.0,1.0,1.0,1.0,-0.2691,23,,-0.2691,0.2691,,,,85241,379,0,4,101238
