nodes,policy,runs,tx_packets_mean,tx_packets_std,energy_mj_mean,energy_mj_std,f1_mean,f1_std,dcr_mean,dcr_std,mean_lead_time_s_mean,mean_lead_time_s_std,collisions_mean,collisions_std,mean_origin_error_m_mean,mean_origin_error_m_std,mean_speed_error_m_s_mean,mean_speed_error_m_s_std,mean_eta_error_s_mean,mean_eta_error_s_std
20,event_driven,20,2142.5,295.21348207695394,872.235,104.89242250992204,1.0,0.0,1.0,0.0,0.40698000000000006,0.702052847463479,1661.95,285.389387734686,,,,,,
20,dstep,20,238.3,40.713504807179284,336.0835,16.734679175450697,0.9724799999999998,0.025345955765845758,0.9174999999999999,0.06340139463848773,-0.11761500000000003,0.8489206467626995,129.95,34.77820702984164,37.60741,5.805583560848987,6.35508,2.386767133394591,1.222105,0.6483202510090373
50,event_driven,20,13587.15,1465.89506607289,5080.743499999999,514.6136986054378,1.0,0.0,1.0,0.0,0.43635,0.35687629214440236,12268.3,1456.0233912233257,,,,,,
50,dstep,20,1553.05,143.8769485212606,1216.24675,52.354428663902766,0.9974450000000001,0.007356592102897996,0.9960000000000001,0.010462967275611947,0.73098,0.4212666046703991,1118.25,145.5605770081562,39.559015,3.6170054539596266,5.59386,1.0882851543888477,1.05758,0.3589369972571788
100,event_driven,20,54432.6,4734.726873687759,19727.938000000002,1660.7004694202478,1.0,0.0,0.998,0.00410391340834062,0.520615,0.2139036705843864,51623.0,4716.249100603929,,,,,,
100,dstep,20,6198.0,428.0344304891962,3567.6355000000003,150.97486787977587,1.0,0.0,0.9994999999999999,0.002236067977499792,1.6499249999999996,0.8653406915776006,5111.75,432.0831882623384,40.11919999999999,2.6890525285037907,5.125629999999999,0.9354032635010534,1.02005,0.16484253251608272
